domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"A point operator computes a pixel's new value using only that same pixel's original value, ignoring its neighbors.",T,tf,,,,,
"In a grayscale continuous-domain image f(x,y), the function maps spatial position to intensity.",T,tf,,,,,
"For an 8-bit image, the inversion operation is g(x,y) =",255-f(x.y),formula,,,,,
"The brightness operator adds a constant b: g(x,y) =",f(x.y)+b,formula,,,,,
"The contrast operator multiplies by a constant a: g(x,y) =",a*f(x.y),formula,,,,,
"Multiplying every pixel by a constant a with a>1 has which effect?",Increases contrast,mc,Decreases contrast,Lightens uniformly,Inverts the image,,
"Gamma correction follows the relation Vout =",A*Vin^gamma,formula,,,,,
"A typical value of gamma in gamma correction is approximately:",2.2,mc,1.0,0.5,255,,
"Gamma correction is a point operation applied to make displayed brightness more natural to the eye.",T,tf,,,,,
"Histogram equalization redistributes intensity values to produce a flatter histogram and improve global contrast.",T,tf,,,,,
"In histogram equalization, the normalized histogram (probability) of intensity level rk is p(rk) =",(#pixels with intensity rk)/(#pixels),formula,,,,,
"In histogram equalization, the cumulative distribution is CDF(rk) =",sum_{i=0}^{k} p(r_i),formula,,,,,
"The CDF used in histogram equalization maps each input intensity into the range:",[0.1],mc,[0.255],[-1.1],[0.2],,
"In the HE remapping, the scaled new intensity is r'k = round( ((CDF(rk) - CDFmin)(L-1)) / (N - CDFmin) ).",T,tf,,,,,
"In the HE remapping formula, N denotes:",The total number of pixels,mc,The number of bins,The max intensity,The min CDF value,,
"Which method computes a transformation per pixel using the histogram of a small local neighborhood?",Local (Adaptive) Histogram Equalization,mc,Global histogram equalization,Gamma correction,Thresholding,,
"Linear filtering computes each output pixel as a weighted sum (linear combination) of its neighbors.",T,tf,,,,,
"The set of weights used in linear filtering is called the kernel (or filter).",T,tf,,,,,
"Cross-correlation output is G[i.j] =",sum_{u=-k}^{k} sum_{v=-k}^{k} H[u.v] F[i+u.j+v],formula,,,,,
"Convolution output is G[i.j] =",sum_{u=-k}^{k} sum_{v=-k}^{k} H[u.v] F[i-u.j-v],formula,,,,,
"Convolution differs from cross-correlation in that the kernel is flipped both horizontally and vertically before being applied.",T,tf,,,,,
"If a kernel is symmetric, convolution and cross-correlation give identical results.",T,tf,,,,,
"Which property does convolution have that cross-correlation lacks?",Commutativity,mc,Linearity,Locality,Separability,,
"The associative property of convolution means two filters applied in sequence can be replaced by a single combined filter.",T,tf,,,,,
"Which padding strategy replicates the edge pixel outward?",Clamp/replicate,mc,Zero,Constant,Reflection,,
"With 'valid' padding (no padding), the output is larger than the input.",F,tf,,,,,
"For the 'valid' output, the output dimension is dimout =",floor((dimin - dimK)/S)+1,formula,,,,,
"A box (mean) filter replaces each pixel with the average of its neighbors and causes blurring.",T,tf,,,,,
"A 3x3 box filter kernel consists of all 1s normalized (divided) by:",9,mc,3,1,255,,
"The 2D Gaussian filter weight is Gsigma =",(1/(2*pi*sigma^2)) * e^(-(x^2+y^2)/(2*sigma^2)),formula,,,,,
"In a Gaussian kernel, pixels closer to the center receive higher weights than those far away.",T,tf,,,,,
"Convolving a Gaussian with another Gaussian produces a new, wider Gaussian.",T,tf,,,,,
"A 2D Gaussian kernel is separable, so a 2D convolution can be done as two 1D convolutions.",T,tf,,,,,
"The unsharp masking (sharpening) operation is Fsharpened =",F_original + alpha*(F_original - F_blurred),formula,,,,,
"In unsharp masking, setting alpha = 0 leaves the image unchanged.",T,tf,,,,,
"Compared to a box filter, a Gaussian filter produces a smoother, more natural-looking blur.",T,tf,,,,,
"A nonlinear filter's output is NOT a linear combination of the neighboring pixel values.",T,tf,,,,,
"The bilateral filter weights neighbors by both spatial distance and intensity difference, making it edge-preserving.",T,tf,,,,,
"In the bilateral filter, which kernel weights pixels by their intensity difference from the center?",The range (intensity) kernel,mc,The spatial Gaussian kernel,The normalizing factor,The box kernel,,
"In the bilateral filter, Wmn is the sum of all weights and acts as a normalizing factor.",T,tf,,,,,
"Which filter is most effective at removing salt-and-pepper noise?",Median filter,mc,Mean (box) filter,Gaussian filter,Bilateral filter,,
"The median filter rejects outliers because the median is unaffected by extreme values, unlike the mean.",T,tf,,,,,
"Thresholding converts a grayscale image into a binary image based on a threshold value.",T,tf,,,,,
"Sub-sampling an image by simply discarding rows and columns can cause:",Aliasing,mc,Sharpening,Higher dynamic range,Gamma shift,,
"Aliasing happens when the sampling rate is too low to capture the highest frequencies in the image.",T,tf,,,,,
"The Nyquist condition requires the sampling rate to satisfy fs >=",2*f_max,formula,,,,,
"To avoid aliasing when downsizing, you should first apply a low-pass filter (e.g. Gaussian) before sub-sampling.",T,tf,,,,,
"Which interpolation method repeats pixels and gives blocky results when upsampling?",Nearest-neighbor,mc,Bilinear,Bicubic,Lanczos,,
"Bilinear interpolation computes each new pixel as a weighted average of how many nearest original pixels?",4,mc,2,9,16,,
"Bicubic interpolation uses a neighborhood of how many pixels?",16,mc,4,8,9,,
"Edges are locations in an image with a rapid change in intensity.",T,tf,,,,,
"The image gradient is the vector nabla f =",[df/dx . df/dy],formula,,,,,
"The gradient magnitude (edge strength) is ||nabla f|| =",sqrt((df/dx)^2 + (df/dy)^2),formula,,,,,
"The gradient orientation is theta = atan2(df/dy, df/dx), giving the edge direction.",T,tf,,,,,
"The gradient vector points in the direction of the most rapid intensity increase.",T,tf,,,,,
"Applying derivative filters directly is sensitive to noise; the fix is to first smooth with a Gaussian.",T,tf,,,,,
"The derivative theorem of convolution states d/dx (G * f) = (d/dx G) * f, letting us pre-differentiate the kernel.",T,tf,,,,,
"A filter that takes the derivative of a Gaussian kernel and convolves it with the image is called a:",Derivative of Gaussian (DoG) filter,mc,Laplacian of Gaussian filter,Box filter,Bilateral filter,,
"The Laplacian of an image is nabla^2 f =",d^2f/dx^2 + d^2f/dy^2,formula,,,,,
"At an edge, the first derivative shows a peak while the second derivative shows a zero-crossing.",T,tf,,,,,
"Edges located by finding zero-crossings in a Gaussian-smoothed second-derivative image use which filter?",Laplacian of Gaussian (LoG),mc,Derivative of Gaussian (DoG),Sobel,Prewitt,,
"Compared to DoG, zero-crossings (LoG) are more accurate at localizing edges but DoG is computationally more efficient.",T,tf,,,,,
"The Sobel operator is a separable filter combining a 1D blurring kernel and a 1D derivative kernel.",T,tf,,,,,
"The Sobel operator is an efficient approximation of the Derivative of Gaussian.",T,tf,,,,,
"Which of these is NOT one of the derivative filters mentioned alongside Sobel?",Gabor,mc,Prewitt,Roberts,Scharr,,
"The Canny edge detector is a single-step (not multi-stage) algorithm.",F,tf,,,,,
"In the Canny pipeline, which stage thins edges to single-pixel width by checking if a pixel is a local maximum along the gradient direction?",Non-maximum suppression,mc,Gaussian smoothing,Hysteresis thresholding,Gradient computation,,
"Canny's hysteresis thresholding uses how many thresholds?",Two (a high and a low),mc,One,Three,Zero,,
"In Canny hysteresis, a 'weak' edge pixel (between low and high thresholds) is kept only if it is connected to a strong edge pixel.",T,tf,,,,,
"In Canny hysteresis, pixels with gradient magnitude below the low threshold are discarded.",T,tf,,,,,
"Explain the difference between point operations, linear filtering, and nonlinear filtering, giving an example of each.","A point operation computes each output pixel from only the corresponding input pixel, independent of neighbors (e.g. brightness g=f+b, contrast g=a*f, inversion 255-f, gamma correction). Linear filtering computes each output pixel as a weighted sum (convolution/cross-correlation) of a neighborhood using a kernel (e.g. box/mean filter, Gaussian blur, sharpening/unsharp masking). Nonlinear filtering also uses a neighborhood but the output is not a linear combination of neighbors (e.g. median filter for salt-and-pepper noise, bilateral filter for edge-preserving smoothing, thresholding).",aperta,,,,,
"Describe how histogram equalization works and what problem it solves.","Histogram equalization improves global contrast by redistributing intensity values to make the histogram flatter, so details become more visible. Steps: (1) compute the histogram p(rk)=#pixels with intensity rk over total pixels; (2) compute the cumulative distribution CDF(rk)=sum of p up to k; (3) use the scaled CDF as a lookup table to remap each old intensity to a new one (r'k=round((CDF-CDFmin)(L-1)/(N-CDFmin))). Local/adaptive HE (AHE) instead computes a transform per pixel from a local neighborhood to enhance local detail at higher computational cost.",aperta,,,,,
"Compare convolution and cross-correlation, and explain why convolution's properties are useful.","Both compute an output pixel as a weighted sum over a neighborhood with a kernel. Cross-correlation applies the kernel directly; convolution flips the kernel horizontally and vertically first. If the kernel is symmetric they are identical. Convolution is commutative, associative, and distributes over addition; cross-correlation lacks these. Associativity is especially useful: applying two filters in sequence equals convolving the kernels into one combined filter first, which also underlies the derivative theorem of convolution (differentiate the Gaussian once, then convolve).",aperta,,,,,
"Explain aliasing in image downsampling and how to prevent it, referencing the Nyquist criterion.","Naive sub-sampling (throwing away rows/columns) causes aliasing: fine details/patterns get distorted into incorrect new patterns because the sampling rate is too low to capture the highest frequencies. The Nyquist criterion requires fs >= 2*fmax. To prevent aliasing you first apply a low-pass filter (e.g. Gaussian blur) to remove high-frequency content that cannot be represented at the lower resolution, then sub-sample safely. This anti-aliasing step is also why Gaussian pyramids blur before downsampling.",aperta,,,,,
"Describe the full Canny edge detection pipeline and the role of each stage.","Canny is a multi-stage classical edge detector. (1) Filter: smooth with a Gaussian and compute gradient magnitude and orientation, e.g. with a Derivative-of-Gaussian or Sobel filter. (2) Non-maximum suppression: keep a pixel only if its magnitude is a local maximum along the gradient direction, otherwise set it to 0, producing thin single-pixel edges. (3) Hysteresis thresholding with two thresholds: pixels above the high threshold are strong edges and kept; pixels between low and high are weak edges, kept only if connected to a strong edge; pixels below the low threshold are discarded. This preserves true contours while removing noise.",aperta,,,,,
"Explain how image derivatives are used for edge detection and why Gaussian smoothing is combined with differentiation.","Edges are locations of rapid intensity change, so they are found via image derivatives. The gradient (df/dx, df/dy) points toward the steepest intensity increase; its magnitude measures edge strength and its orientation gives edge direction. Direct differentiation is very sensitive to noise (which creates many small rapid changes), so the image is first smoothed with a Gaussian. By the derivative theorem of convolution, smoothing and differentiation can be combined into a single Derivative-of-Gaussian (DoG) filter. Second-order methods use the Laplacian: edges appear as zero-crossings of a Laplacian-of-Gaussian (LoG), which localize edges more accurately though DoG is more efficient.",aperta,,,,,
