domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"Any univariate function can be rewritten as a weighted sum of sines and cosines of different frequencies (under some conditions).",T,tf,,,,,
"The basic building block of Fourier analysis is the sinusoid A sin(omega x + phi).",T,tf,,,,,
"In A sin(omega x + phi), which parameter sets how fast the wave oscillates?",Angular frequency (omega),mc,Amplitude (A),Phase (phi),Wavelength,,
"The period of a sinusoid is T =",2*pi/|omega|,formula,,,,,
"In a frequency spectrum, the value at frequency 0 represents the signal's average (DC) component.",T,tf,,,,,
"The Fourier transform extends Fourier series to non-periodic functions via a continuous spectrum of frequencies.",T,tf,,,,,
"The Fourier transform F(omega) is complex-valued, holding both amplitude and phase for each frequency.",T,tf,,,,,
"Given F(omega) = R(omega) + iI(omega), the amplitude is A =",sqrt(R^2 + I^2),formula,,,,,
"Given F(omega) = R + iI, the phase is phi =",atan(I/R),formula,,,,,
"The continuous forward Fourier transform is F(omega) =",integral f(x) e^(-i*omega*x) dx,formula,,,,,
"Euler's formula connecting the transform to sinusoids is e^(i*theta) =",cos(theta) + i*sin(theta),formula,,,,,
"For a 1D discrete signal of length N, the DFT is F(k) =",sum_{x=0}^{N-1} f(x) e^(-i*2*pi*k*x/N),formula,,,,,
"Directly computing the DFT by matrix multiplication has complexity O(N^2).",T,tf,,,,,
"The Fast Fourier Transform (FFT) computes the DFT in which time complexity?",O(N log N),mc,O(N),O(N^2),O(N^3),,
"In a 2D Fourier spectrum, the zero frequency (DC component) is typically visualized at the:",Center,mc,Top-left corner,Bottom-right corner,Edges,,
"In the 2D spectrum, low frequencies near the center correspond to large-scale smooth structures.",T,tf,,,,,
"In the 2D spectrum, high frequencies far from the center correspond to fine details, edges, and texture.",T,tf,,,,,
"Vertical edges in an image create which orientation of lines in the frequency domain?",Horizontal lines,mc,Vertical lines,Diagonal lines,A single point,,
"The DFT amplitude represents how much of a frequency is present but lacks spatial information.",T,tf,,,,,
"The DFT phase encodes the spatial arrangement of frequency components (location of edges, lines, textures).",T,tf,,,,,
"Reconstructing an image using only its phase yields an image that is unrecognizable noise.",F,tf,,,,,
"The convolution theorem states that spatial convolution equals which operation in the frequency domain?",Element-wise multiplication,mc,Element-wise addition,Convolution again,Division,,
"The convolution theorem can be written F{g * h} =",F{g} * F{h},formula,,,,,
"To blur an image (low-pass) you multiply its spectrum by a mask that preserves low frequencies and attenuates high ones.",T,tf,,,,,
"A Gaussian function is an excellent low-pass filter.",T,tf,,,,,
"To sharpen an image or detect edges, which filter type is used in the frequency domain?",High-pass filter,mc,Low-pass filter,Band-stop filter,All-pass filter,,
"A band-pass filter (a ring mask) isolates features of a specific scale.",T,tf,,,,,
"A box filter's Fourier transform is a sinc function with significant sidelobes, which can cause ringing artifacts.",T,tf,,,,,
"A Gaussian filter's Fourier transform is also a smooth Gaussian, giving clean frequency attenuation.",T,tf,,,,,
The Nyquist-Shannon theorem says a signal can be perfectly reconstructed without aliasing if fs >=,2*f_max,formula,,,,,
"Gaussian blurring before downsampling helps prevent aliasing because it reduces f_max.",T,tf,,,,,
"A hybrid image combines the low-frequency content of one image with the high-frequency content of another.",T,tf,,,,,
"A hybrid image is perceived as the low-frequency image when viewed from far away.",T,tf,,,,,
"Explain the idea behind the Fourier transform and what the amplitude and phase of the DFT represent.","The Fourier transform expresses a signal as a weighted sum/integral of sinusoids of different frequencies; Fourier series handle periodic signals while the Fourier transform extends this to non-periodic ones over a continuous spectrum. The transform F(omega)=R+iI is complex, encoding amplitude A=sqrt(R^2+I^2) and phase phi=atan(I/R) per frequency. For images, the DFT amplitude tells how much of each frequency is present but lacks spatial information, while the phase encodes the spatial arrangement (location of edges, lines, corners, textures). Reconstructing from phase alone still gives a recognizable but distorted image, showing phase carries most structural information.",aperta,,,,,
"Describe how a 2D Fourier spectrum of an image is interpreted (center, frequencies, orientation).","The 2D spectrum F(u,v) is usually displayed with the zero frequency (DC, the average intensity) at the center. Low frequencies near the center correspond to large-scale, smooth structures; high frequencies far from the center correspond to fine details, edges, and texture. The orientation of lines in the spectrum corresponds to edge orientation in the image, but rotated 90 degrees: e.g. vertical edges produce horizontal lines in the frequency domain.",aperta,,,,,
"State the convolution theorem and explain how it enables efficient filtering, including low/high/band-pass examples.","The convolution theorem states that convolution in the spatial domain equals element-wise multiplication in the frequency domain: F{g*h}=F{g}.F{h}. So instead of an expensive spatial convolution you can FFT the image and kernel, multiply them element-wise, and inverse-FFT the result. This makes frequency-domain filtering intuitive: a low-pass mask preserving central (low) frequencies blurs (a Gaussian is an excellent low-pass filter); a high-pass mask attenuating low frequencies sharpens or detects edges; a band-pass ring mask isolates features of a specific scale.",aperta,,,,,
"Compare box and Gaussian filters in the frequency domain, and explain hybrid images.","A box filter is abrupt in space; its Fourier transform is a sinc with strong sidelobes, giving an imperfect cutoff and ringing artifacts. A Gaussian is smooth in space and its transform is also a smooth Gaussian, giving clean attenuation - which is why Gaussian is preferred for blurring. Hybrid images combine the low-frequency content of one image (via a low-pass/Gaussian filter) with the high-frequency content of another (via a high-pass/Laplacian filter) and add them; the result is perceived as the low-frequency image from far away and the high-frequency image up close.",aperta,,,,,
