"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Nel modello di Denavit-Hartenberg, qual è la definizione del parametro \\(a_i\\)?","La distanza tra gli assi \\(z_{i-1}\\) e \\(z_i\\) misurata lungo l'asse \\(x_i\\)","La distanza tra gli assi \\(x_{i-1}\\) e \\(x_i\\) misurata lungo l'asse \\(z_{i-1}\\)","L'angolo tra gli assi \\(z_{i-1}\\) e \\(z_i\\) attorno all'asse \\(x_i\\)","L'angolo tra gli assi \\(x_{i-1}\\) e \\(x_i\\) attorno all'asse \\(z_{i-1}\\)","","mc"
"Nel modello di Denavit-Hartenberg, il parametro coordinata di giunto per un giunto prismatico \\(i\\) corrisponde a quale parametro?","d_i","theta_i","a_i","alpha_i","","mc"
"Qual è l'espressione corretta della matrice di trasformazione omogenea di giunto \\(^{i-1}A_i(q_i)\\) secondo la convenzione di Denavit-Hartenberg?","[cos(theta_i), -cos(alpha_i)*sin(theta_i), sin(alpha_i)*sin(theta_i), a_i*cos(theta_i); sin(theta_i), cos(alpha_i)*cos(theta_i), -sin(alpha_i)*cos(theta_i), a_i*sin(theta_i); 0, sin(alpha_i), cos(alpha_i), d_i; 0, 0, 0, 1]","[cos(theta_i), -sin(theta_i), 0, a_i; sin(theta_i), cos(theta_i), 0, 0; 0, 0, 1, d_i; 0, 0, 0, 1]","[cos(theta_i), -cos(alpha_i)*sin(theta_i), sin(alpha_i)*sin(theta_i), 0; sin(theta_i), cos(alpha_i)*cos(theta_i), -sin(alpha_i)*cos(theta_i), 0; 0, 0, 0, d_i; 0, 0, 0, 1]","[1, 0, 0, a_i; 0, cos(alpha_i), -sin(alpha_i), 0; 0, sin(alpha_i), cos(alpha_i), d_i; 0, 0, 0, 1]","","formula"
"Lo spazio di lavoro primario (WS1) di un manipolatore è definito come l'insieme dei punti raggiungibili dall'end-effector con almeno un orientamento.","T","","","","","tf"
"Lo spazio di lavoro secondario (WS2) o spazio di lavoro destrimano (dextrous) è sempre un sottoinsieme dello spazio di lavoro primario (WS1).","T","","","","","tf"
"Se due assi di giunto consecutivi \\(z_{i-1}\\) e \\(z_i\\) sono complanari e paralleli, come viene definita la direzione dell'asse \\(x_i\\)?","Ortogonale al piano contenente i due assi, con origine a scelta","La normale comune ai due assi, diretta arbitrariamente lungo una delle infinite rette parallele","Coincidente con l'asse di giunto \\(z_i\\)","Ortogonale all'asse di giunto \\(z_{i-1}\\) passante per l'origine della base","","mc"
"Se due assi consecutivi \\(z_{i-1}\\) e \\(z_i\\) si intersecano, qual è il valore del parametro DH \\(a_i\\)?","0","d_i","1","alpha_i","","formula"
"Per un robot planare 2R con lunghezze dei link pari a \\(l_1 = l_2 = l\\), lo spazio di lavoro secondario \\(WS_2\\) è costituito unicamente da quale punto?","L'origine degli assi (0,0)","La circonferenza di raggio \\(2l\\)","L'area interna del cerchio di raggio \\(l\\)","Non esiste alcuno spazio di lavoro secondario","","mc"
"La terna 0 (base) nel metodo di Denavit-Hartenberg deve avere l'asse \\(z_0\\) necessariamente allineato lungo l'asse del primo giunto del manipolatore.","T","","","","","tf"
"La convenzione di Denavit-Hartenberg permette di descrivere la cinematica di qualsiasi struttura robotica a catena aperta utilizzando solo 4 parametri geometrici per ogni giunto.","T","","","","","tf"
