domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"SIFT is designed to be robust to changes in scale, rotation, and illumination.",T,tf,,,,,
"The SIFT detector finds keypoints as extrema in a scale-space representation.",T,tf,,,,,
"SIFT uses a Difference of Gaussians (DoG) pyramid as an efficient approximation of which operator?",Laplacian of Gaussian (LoG),mc,Sobel,Harris response,Box filter,,
"The DoG is computed as DoG(x,y,sigma) =",G(x.y.k*sigma) - G(x.y.sigma),formula,,,,,
"Both DoG and LoG are rotation-equivariant.",T,tf,,,,,
"To transition to the next octave in the SIFT pyramid, the image is subsampled by a factor of 2 (doubling the scale).",T,tf,,,,,
"A candidate keypoint is a local extremum compared to how many neighbors total (spatial + scale)?",26,mc,8,9,18,,
"Keypoints with low contrast (low DoG response) are discarded as unstable.",T,tf,,,,,
"DoG responses on edges are good for matching because they are distinct.",F,tf,,,,,
"A canonical orientation is assigned to each keypoint to make the descriptor rotation-invariant.",T,tf,,,,,
"How many bins are used in the SIFT orientation histogram for orientation assignment?",36,mc,8,9,16,,
"In orientation assignment, each pixel vote is weighted by its magnitude and a Gaussian window centered on the keypoint.",T,tf,,,,,
"Any histogram peak above what fraction of the main peak creates an additional keypoint?",80%,mc,50%,90%,100%,,
"The SIFT descriptor takes a window of which size around the keypoint?",16x16,mc,8x8,4x4,32x32,,
"The SIFT descriptor rotates the coordinate system and gradients by the keypoint's canonical orientation to ensure rotation invariance.",T,tf,,,,,
"The 16x16 SIFT window is divided into a 4x4 grid of cells, and each cell gets an 8-bin orientation histogram.",T,tf,,,,,
"The final SIFT descriptor dimensionality is:",128,mc,64,256,36,,
"The final SIFT descriptor is normalized to unit length to gain robustness against illumination changes.",T,tf,,,,,
"The SIFT descriptor is invariant to scale, rotation, and illumination, and robust to affine transformations and noise.",T,tf,,,,,
"In feature matching, the goal is to find for a source keypoint its corresponding keypoint in the target image.",T,tf,,,,,
"Lowe's ratio test computes ratio =",norm(f1 - f2) / norm(f1 - f2prime),formula,,,,,
"In Lowe's ratio test, a match is accepted if the ratio is below a threshold (e.g. 0.75 or 0.8).",T,tf,,,,,
"A True Positive in matching is an accepted match that is correct.",T,tf,,,,,
"The True Positive Rate (Recall) is computed as #TP /",#Total Correct Matches,mc,#FP,#Total Incorrect Matches,#TP + #FP,,
"An ROC curve plots True Positive Rate against False Positive Rate by varying the threshold.",T,tf,,,,,
"An Area Under the Curve (AUC) of 1.0 is a perfect classifier, while 0.5 is random guessing.",T,tf,,,,,
"Simple accuracy is a poor metric for feature matching because the number of true negatives is astronomically large.",T,tf,,,,,
"Precision is defined as TP /",TP + FP,formula,,,,,
"Recall is defined as TP /",TP + FN,formula,,,,,
"The F1-score is the harmonic mean of precision and recall.",T,tf,,,,,
"SURF is a faster alternative to SIFT with comparable quality.",T,tf,,,,,
"Instead of DoG, SURF detects blobs at locations where which quantity is maximal?",det(H) (determinant of the Hessian),mc,trace(H),the Harris response,the gradient magnitude,,
"SURF approximates Gaussian second-order derivatives with simple box filters for speed.",T,tf,,,,,
"SURF computes box-filter convolutions extremely quickly using integral images.",T,tf,,,,,
"The SURF approximate determinant of the Hessian is det(H_approx) =",D_xx*D_yy - (w*D_xy)^2,formula,,,,,
"In the SURF Hessian approximation, the weighting factor w is approximately:",0.9,mc,0.5,1.0,0.04,,
"The SURF descriptor dimensionality is:",64,mc,128,256,32,,
"Binary feature descriptors generate small binary strings that are fast to compute and compare.",T,tf,,,,,
"In a binary descriptor, each bit is produced by a simple intensity comparison between a pair of pixels.",T,tf,,,,,
"The distance between two binary descriptors is measured using which distance?",Hamming distance,mc,Euclidean distance,Chi-square distance,Manhattan distance,,
"The Hamming distance between binary descriptors is dHamming(B1,B2) =",sum(xor(B1.B2)),formula,,,,,
"ORB improves upon BRIEF by adding rotation invariance and learning optimal sampling pairs.",T,tf,,,,,
"ORB learns its sampling pairs to be uncorrelated (new information) and high variance (discriminative).",T,tf,,,,,
"ORB rotates its set of sampling pairs by theta around the patch center of mass before intensity comparisons.",T,tf,,,,,
"A typical ORB descriptor uses how many bits?",256,mc,64,128,512,,
"Describe the SIFT detector: scale-space construction, extrema detection, and keypoint filtering.","SIFT finds keypoints as extrema in scale-space. It builds a Gaussian pyramid in octaves (same-resolution images progressively blurred; subsample by 2 to start the next octave, doubling scale) and forms a Difference-of-Gaussians (DoG) pyramid, DoG=G(x,y,k*sigma)-G(x,y,sigma), as an efficient approximation of the LoG blob detector. A candidate keypoint is a pixel that is a local max/min versus its 8 spatial neighbors plus 9 in the level above and 9 below (26 total). Low-contrast keypoints (low DoG) are discarded as unstable, and edge responses are rejected because along an edge the DoG changes strongly in only one direction and is not distinct enough for matching.",aperta,,,,,
"Explain SIFT orientation assignment and the construction of the 128-dim descriptor, and list the descriptor's invariances.","Orientation assignment makes the descriptor rotation-invariant: in a neighborhood around the keypoint (in its Gaussian image) compute gradient magnitude/orientation, build a 36-bin orientation histogram with votes weighted by magnitude and a Gaussian window; the highest peak is the canonical orientation, and any peak above 80% of it creates an additional keypoint. The descriptor: take a 16x16 window at the characteristic scale, rotate coordinates/gradients by the canonical orientation, divide into a 4x4 grid of cells, compute an 8-bin orientation histogram per cell, concatenate into a 128-dim vector, and normalize to unit length. SIFT is invariant to scale (scale-space detection), rotation (orientation normalization), and illumination (vector normalization), and robust to affine transforms and noise.",aperta,,,,,
"Explain feature matching with Lowe's ratio test and the metrics used to evaluate matching performance.","To match a source keypoint to a target image, the naive approach takes the nearest neighbor by Euclidean distance, but this yields many false matches for ambiguous features. Lowe's ratio test instead finds the two nearest neighbors f2 and f2' and accepts the match only if ||f1-f2||/||f1-f2'|| is below a threshold (e.g. 0.75-0.8), rejecting ambiguous matches. Evaluation uses ground truth: varying a threshold gives an ROC curve of True Positive Rate (recall) vs False Positive Rate, summarized by AUC (1.0 perfect, 0.5 random). Plain accuracy is misleading because true negatives dominate; precision (TP/(TP+FP)), recall (TP/(TP+FN)), and their harmonic mean F1 are more informative.",aperta,,,,,
"Compare SURF and binary descriptors (ORB) with SIFT in terms of how they achieve speed.","SURF is a faster SIFT alternative: it detects blobs where det(H) of the Hessian is maximal, approximates the Gaussian second derivatives with box filters computed instantly via integral images (det approx = Dxx*Dyy-(w*Dxy)^2, w~0.9), assigns orientation via Haar wavelet responses, and builds a 64-dim descriptor from sums of Haar responses over a 4x4 grid. Binary descriptors are even cheaper: they encode each bit by a simple intensity comparison between a pixel pair, producing a short bit string (e.g. 256 bits) compared by fast Hamming distance. ORB improves BRIEF by adding rotation invariance (rotating learned sampling pairs around the patch center of mass) and learning 256 uncorrelated, high-variance pairs for discriminativeness.",aperta,,,,,
