"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Un path geometrico e una traiettoria sono la stessa cosa.","F","","","","","tf"
"La timing law s(t) descrive SOLO il profilo di velocita lungo il path, non la posizione.","F","","","","","tf"
"La separazione path+timing law permette di controllare separatamente la geometria del moto e il suo profilo temporale.","V","","","","","tf"
"Per un path lineare nel Cartesian space vale sempre ||dp/ds|| = 1 se s e la lunghezza d'arco.","V","","","","","tf"
"Una traiettoria si definisce regolare se e solo se il vettore tangente alla traiettoria non si annulla mai in alcun punto.","V","","","","","tf"
"Qual e la prima cosa da verificare nel diagramma decisionale prima di scegliere il tipo di profilo?","Se il moto e nel joint space o nel Cartesian space","Se il path e lineare o circolare","Se i bounds sono su velocita o accelerazione","Quanti giunti ha il robot","","mc"
"Qual e la relazione tra path e timing law nella composizione della traiettoria?","q(t) = q(s(t)): il path fornisce la geometria, la timing law il profilo temporale","q(t) = s(t): sono la stessa cosa scalata","q(t) dipende solo dalla timing law","Il path include gia la dipendenza temporale","","mc"
"Qual e la formula corretta per la velocita dei giunti durante il path parametrizzato q(s(t))?","q_dot(t) = q'(s) * s_dot(t)","q_dot = q(s) / s_dot","q_dot = q'(s) / s_dot","q_dot = J * s_dot","","mc"
"Per un path q(s) = [s^2, 3s] con s in [0,1], il vettore q'(s) vale:","[2s, 3]","[2, 3]","[s, 3]","[2s, 0]","","mc"
"Il profilo bang-coast-bang minimizza il tempo di percorrenza a parita di bounds su velocita e accelerazione.","V","","","","","tf"
"La condizione per avere la fase di cruise nel profilo trapezoidale e L > V/A.","F","","","","","tf"
"Il profilo trapezoidale bang-bang si usa quando il path e troppo CORTO per raggiungere la velocita massima.","V","","","","","tf"
"Il tempo di rampa nel profilo trapezoidale vale T_r = A / V.","F","","","","","tf"
"La formula T = (A*L + V^2)/(A*V) e valida solo quando esiste la fase di cruise (L > V^2/A).","V","","","","","tf"
"Il profilo trapezoidale ha discontinuita di accelerazione agli istanti t=0, t=T_r, t=T-T_r, t=T.","V","","","","","tf"
"Qual e la condizione che distingue il profilo bang-coast-bang dal profilo bang-bang?","L > V^2/A","L > V/A","L < V^2/A","L = V*T","","mc"
"Qual e la formula corretta per il tempo totale del profilo bang-coast-bang?","T = L/V + V/A","T = L/V - V/A","T = sqrt(4L/A)","T = L*A/V^2","","mc"
"In un profilo bang-bang (no cruise), il picco di velocita raggiunto e:","V_bar = A * T_bar / 2","V_bar = A * T_bar","V_bar = sqrt(A*L)","V_bar = L / T_bar","","mc"
"In un profilo trapezoidale con L = 2 m, V_max = 1 m/s, A_max = 2 m/s^2. Quanto vale il tempo di rampa T_r?","0.5 s","1 s","2 s","0.25 s","","mc"
"La fase di accelerazione nel profilo trapezoidale dura T_r = V/A. Con V=2 m/s e A=4 m/s^2, T_r vale:","0.5 s","2 s","8 s","0.25 s","","mc"
"La formula T = (AL + V^2)/(AV) nel caso degenere L = V^2/A diventa:","T = 2V/A = 2*T_r (profilo al limite: cruise di durata zero)","T = L/V","T = 2L/V","T non e calcolabile","","mc"
"Hai path lineare, L=2m, V_max=0.8m/s, A_max=1.6m/s^2. Verifica b-c-b o b-b, poi calcola T.","V^2/A = 0.4m < 2m: b-c-b. T_r=0.5s. T = 2/0.8 + 0.5 = 3 s","V^2/A = 0.4m, T = 2.5s","T_r=1s, T = 3.5s","T = 2/0.8 = 2.5s (solo cruise)","","mc"
"Un path ha L = 1.5 m, V = 1 m/s, A = 2 m/s^2. V^2/A = ? e quale profilo?","V^2/A = 0.5 m < L: bang-coast-bang","V^2/A = 0.5 m > L: bang-bang","V^2/A = 1 m < L: bang-coast-bang","V^2/A = 2 m > L: bang-bang","","mc"
"Un path ha L = 0.2 m, V = 0.5 m/s, A = 1.0 m/s^2. V^2/A = 0.25 m > L = 0.2 m. Quale profilo?","Bang-bang (no cruise): T_bar = sqrt(4*0.2/1) = 0.894 s","Bang-coast-bang","Cubica","Non realizzabile","","mc"
"Con L = 0.8 m, V^2/A = 0.25 m. V^2/A < L quindi:","Bang-coast-bang (cruise esiste). T = 0.8/V + V/A","Bang-bang (no cruise)","Profilo cubico","Non si puo determinare","","mc"
"In un profilo trapezoidale con L = 1.2 m, V = 0.6 m/s, A = 1.2 m/s^2, quanto vale T?","T = 1.2/0.6 + 0.6/1.2 = 2 + 0.5 = 2.5 s","T = 2.0 s","T = 3.0 s","T = 1.5 s","","mc"
"Per la stessa traiettoria (L=1.2, V=0.6, A=1.2), la durata della fase di cruise vale:","T_c = T - 2*T_r = 2.5 - 2*0.5 = 1.5 s","T_c = 0.5 s","T_c = 1.0 s","T_c = 2.0 s","","mc"
"La distanza percorsa nella sola fase di accelerazione (rampa) del profilo trapezoidale vale:","s_r = V^2 / (2A)","s_r = V^2 / A","s_r = V * T_r","s_r = A * T_r","","mc"
"Nel profilo b-c-b, la posizione durante la fase di cruise (T_r <= t <= T-T_r) e:","sigma(t) = V*(t - T_r/2)","sigma(t) = V*t","sigma(t) = A*t^2/2","sigma(t) = L - A*(T-t)^2/2","","mc"
"Nel profilo b-c-b, la posizione durante la decelerazione (T-T_r <= t <= T) e:","L - A*(T-t)^2/2","V*(t - T_r/2)","A*t^2/2","V*t - V^2/(2A)","","mc"
"Per il profilo bang-bang puro, qual e la formula del tempo totale T_bar?","sqrt(4L/A)","2L/V","L/A","sqrt(2L/A)","","mc"
"Le due forme sqrt(4L/A) e 2*sqrt(L/A) per il bang-bang sono equivalenti?","Si, sono la stessa formula","No, differiscono per un fattore 2","Solo per L=1","Solo per A=1","","mc"
"formula: scrivi la formula del tempo totale del profilo bang-coast-bang","\frac{AL+V^2}{AV}","","","","","formula"
"formula: scrivi la formula del tempo di rampa T_r del profilo trapezoidale","\frac{V}{A}","","","","","formula"
"formula: scrivi la formula per il tempo del profilo bang-bang (no cruise)","\sqrt{\frac{4L}{A}}","","","","","formula"
"formula: scrivi la formula per lo spazio di rampa s_r in funzione di V e A","\frac{V^2}{2A}","","","","","formula"
"formula: scrivi la formula del tempo di cruise T_c in funzione di L V A","\frac{L}{V} - \frac{V}{A}","","","","","formula"
"Quando si riscala temporalmente in modo uniforme con fattore k, la traiettoria geometrica del robot si modifica.","F","","","","","tf"
"Quando si riscala temporalmente in modo uniforme con fattore k > 1, la nuova accelerazione diventa A_new = A/k (lineare in k).","F","","","","","tf"
"Per la traiettoria coordinata PTP tra piu giunti, il tempo totale e dettato dal giunto piu lento.","V","","","","","tf"
"Nel riscalamento a T_r fisso, la nuova velocita massima si calcola come V_bar = L / (T_bar + T_r).","F","","","","","tf"
"Il riscalamento uniforme e il riscalamento a T_r fisso danno sempre lo stesso risultato.","F","","","","","tf"
"Il riscalamento uniforme con fattore k agisce sull'accelerazione come:","A_new = A / k^2","A_new = A / k","A_new = A * k","A_new = A * k^2","","mc"
"Nel riscalamento a T_r fisso, la nuova velocita massima si calcola come:","V_bar = L / (T_bar - T_r)","V_bar = L / T_bar","V_bar = L / (T_bar + T_r)","V_bar = (L - V*T_r) / T_bar","","mc"
"Nel riscalamento a T_r fisso, la nuova accelerazione A_bar vale:","A_bar = V_bar / T_r","A_bar = V_bar * T_r","A_bar = V_bar^2 / (2*L)","A_bar = A / k^2","","mc"
"Esame Jan 2026: T_min = 1.385 s, T_r = 0.6 s. Si vuole T_bar = 2*T_min = 2.771 s con T_r fisso. V_bar = ?","V_bar = L / (2.771 - 0.6) = L / 2.171 (circa 1.085 rad/s con L=2.356)","V_bar = L / 2.771","V_bar = V / 2","V_bar = L / 0.6","","mc"
"Cosa si intende per giunto limitante nella coordinazione multi-giunto?","Il giunto che richiede il maggior T_min_i e che detta la durata totale del moto","Il giunto con la minore velocita massima","Il giunto che percorre la distanza maggiore","Il giunto piu vicino alla base","","mc"
"In una coordinazione con T_min = [1.2, 0.8, 1.5] s, quale giunto NON viene riscalato?","Giunto 3 (e il piu lento, k=1)","Giunto 1","Giunto 2","Tutti vengono riscalati","","mc"
"Per la coordinazione precedente (T_min=[1.2, 0.8, 1.5]s), il fattore k del giunto 1 e:","k_1 = 1.5/1.2 = 1.25","k_1 = 1.2/1.5 = 0.8","k_1 = 1.0","k_1 = 1.5/0.8","","mc"
"Devi coordinare 3 giunti con T_min = [0.9, 1.2, 0.6] s. T e i giunti da riscalare sono:","T = 1.2 s, si riscalano i giunti 1 e 3","T = 0.9 s, si riscala solo il giunto 3","T = 1.2 s, si riscala solo il giunto 2","T = 0.6 s, nessun giunto va riscalato","","mc"
"Per la coordinazione con T_min_1 = 1.0 s e T = 1.3 s, k_1 e la nuova velocita V_1_new:","k_1 = 1.3, V_1_new = V_1/1.3","k_1 = 1.0, V_1_new = V_1","k_1 = 0.77, V_1_new = 1.3*V_1","k_1 = 1.3^2","","mc"
