domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa,punti_chiave,immagine
"Il convoluzione 2D con un kernel separabile L x L ha una complessità di O(2LMN).","V","tf","","","","","","",""
"Il filtro Mediana è un filtro lineare ottimale per rimuovere il rumore Gaussiano.","F","tf","","","","","","",""
"Nel Canny Edge Detector, lo step di Non-Maximum Suppression serve a produrre bordi spessi esattamente un pixel.","V","tf","","","","","","",""
"Lo Zero-Padding è il metodo di padding ideale perché non introduce alcun falso bordo artificiale sui confini dell'immagine.","F","tf","","","","","","",""
"La fase nello spettro di Fourier 2D codifica la disposizione spaziale e la posizione geometrica di bordi e contorni.","V","tf","","","","","","",""
"Il Box Filter produce artefatti di ringing a causa della sua Trasformata di Fourier di tipo Sinc con lobi laterali.","V","tf","","","","","","",""
"Il rilevatore di angoli di Harris è completamente invariante ai cambiamenti di scala geometrica dell'immagine.","F","tf","","","","","","",""
"Il fattore sigma^2 nel LoG normalizzato serve a rendere le risposte del blob detector comparabili tra scale diverse.","V","tf","","","","","","",""
"Il descrittore SIFT finale produce un vettore a 128 dimensioni basato su una griglia 4x4 di celle con istogrammi a 8 bin.","V","tf","","","","","","",""
"Il descrittore HOG standard per pedestrian detection è invariante alla rotazione e alla scala.","F","tf","","","","","","",""
"I descrittori binari come ORB vengono confrontati calcolando la distanza di Hamming tramite l'operatore XOR.","V","tf","","","","","","",""
"Una matrice di Omografia H (3x3) possiede 8 gradi di libertà indipendenti e richiede almeno 4 corrispondenze di punti.","V","tf","","","","","","",""
"L'Inverse Warping garantisce che ogni singolo pixel dell'immagine di destinazione riceva un valore, eliminando i buchi.","V","tf","","","","","","",""
"RANSAC fallisce se utilizzato con i Least Squares a causa della sua incapacità di gestire gli outliers.","F","tf","","","","","","",""
"L'equazione di costanza della luminosità nell'Optical Flow fornisce due equazioni indipendenti per ogni singolo pixel.","F","tf","","","","","","",""
"L'Aperture Problem impedisce di stimare il movimento tangenziale (parallelo) a un bordo rettilineo.","V","tf","","","","","","",""
"La calibrazione DLT della camera stima la matrice di proiezione P (3x4) risolvendo un sistema omogeneo con almeno 6 punti.","V","tf","","","","","","",""
"In uno stereo rettificato, la disparità d è inversamente proporzionale alla profondità z dell'oggetto.","V","tf","","","","","","",""
"La Matrice Fondamentale F ha rango 3 ed è sempre invertibile.","F","tf","","","","","","",""
"Gli epipoli rappresentano il nucleo (null space) della Matrice Fondamentale F e della sua trasposta F^T.","V","tf","","","","","","",""
"Qual è il costo computazionale di una convoluzione 2D standard non separabile con kernel L x L su un'immagine M x N?","O(L^2 * M * N)","mc","O(2L * M * N)","O(L * M * N)","O(L^2 + M + N)","","","",""
"Quale filtro non-lineare preserva i bordi netti mentre rimuove il rumore pesando i pixel per distanza e intensità?","Bilateral Filter","mc","Median Filter","Gaussian Filter","Box Filter","","","",""
"Quale valore di R restituisce la funzione di risposta di Harris in una regione di Angolo (Corner)?","Un valore grande e positivo","mc","Un valore grande e negativo","Un valore vicino a zero","Zero assoluto","","","",""
"Nel Lowe's ratio test, quale soglia viene tipicamente usata per accettare un match non ambiguo?","0.75 - 0.8","mc","0.1 - 0.2","0.95 - 1.0","0.4 - 0.5","","","",""
"Quale operazione matematica viene usata per risolvere il sistema omogeneo Ah = 0 nella stima dell'Omografia o di F?","SVD (Singular Value Decomposition)","mc","Decomposizione LU","Fattorizzazione QR","Eliminazione di Gauss","","","",""
"Quale metrica misura la sovrapposizione tra la maschera di segmentazione prevista e la ground-truth ed è equivalente al F1-Score?","Dice Score (DSC)","mc","MAE","RMSE","AbsRel","","","",""
"Quale componente della Transformer Attention scala il prodotto scalare Q * K^T per evitare il vanishing gradient nella Softmax?","1 / sqrt(d_k)","mc","1 / d_k","log(d_k)","1 / K","","","",""
"Formola del gradiente di magnitudine $\|\nabla f\|$","\||\nabla f\|| = \sqrt(I_x^2 + I_y^2)","formula","","","","","\\sqrt{I_x^2 + I_y^2}|sqrt(I_x^2 + I_y^2)","",""
"Formola della risposta R di Harris dati determinante e traccia di H","R = \det(H) - k * (\operatorname{trace}(H))^2","formula","","","","","\\det(H) - k \\cdot \\text{trace}^2(H)|R = det(H) - k * trace(H)^2","",""
"Formola del vincolo di costanza della luminosità nell'Optical Flow","I_x * u + I_y * v + I_t = 0","formula","","","","","I_x u + I_y v + I_t = 0|I_x u + I_y v = -I_t","",""
"Formola della profondità z in Stereo Vision in funzione della disparità d","z = (b * f_x) / d","formula","","","","","z = \\frac{b \\cdot f_x}{d}|z = (b * f_x)/d","",""
"Formola del vincolo epipolare con la Matrice Fondamentale F e punti pixel p, p'","p'^T * F * p = 0","formula","","","","","p'^T F p = 0|p'^T * F * p = 0","",""
"Spiegare la differenza tra l'invarianza all'intensità additiva (I' = I + b) e l'invarianza allo scaling (I' = aI) nel rilevatore di Harris.","Nel rilevamento di Harris, lo shift additivo di luminosità (I' = I + b) viene completamente eliminato dal calcolo delle derivate spaziali (Ix, Iy), poiché la derivata di una costante è zero (invarianza perfetta). Al contrario, lo scaling moltiplicativo del contrasto (I' = aI) scala i gradienti e fa sì che la risposta R scali proporzionalmente ad a^4. Una soglia fissa R fallirebbe, rendendo Harris solo parzialmente invariante al contrasto a meno di usare una soglia adattiva.","aperta","","","","","","Shift additivo I+b viene annullato dalle derivate Ix Iy|La derivata di una costante additiva e zero|Scaling moltiplicativo aI scala i gradienti e fa scalare R per a^4|Una soglia fissa R fallirebbe con lo scaling del contrasto|Richiede l uso di soglie adattive o normalizzazione",""
"Spiegare perché l'algoritmo Lucas-Kanade fallisce quando si registrano grandi movimenti (superiori a 1-2 pixel) tra i fotogrammi e come le Piramidi Gaussiane risolvono il problema.","Lucas-Kanade si basa sull'approssimazione al primo ordine della serie di Taylor, che è valida solo per piccoli spostamenti (delta t -> 0). Se il movimento supera pochi pixel, l'approssimazione lineare fallisce e il gradiente locale non intercetta il displacement. Per risolvere il problema si adotta una strategia Coarse-to-Fine con Piramidi Gaussiane: il flusso viene stimato prima al livello più basso (grossolano) dove i grandi movimenti appaiono come piccoli spostamenti. Il flusso calcolato viene poi ingrandito (upsampling) e usato per deformare (warping) il secondo frame verso il primo, permettendo a Lucas-Kanade di calcolare solo il flusso residuo (residual flow) ai livelli successivi.","aperta","","","","","","Lucas Kanade fallisce per grandi movimenti perche l approssimazione di Taylor non vale|Strategia Coarse-to-Fine con Piramidi Gaussiane|Ai livelli alti i grandi movimenti appaiono come piccoli spostamenti|Upsampling del flusso e Warping del secondo frame|Calcolo del flusso residuo ai livelli di risoluzione piu dettagliati",""
