"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Qual è la proprietà fondamentale di una matrice di rotazione \\(R \\in SO(3)\\)?","\\(R^T = R^{-1}\\) e \\(\\det(R) = 1\\)","\\(R^T = -R\\) e \\(\\det(R) = 1\\)","\\(R^T = R^{-1}\\) e \\(\\det(R) = -1\\)","\\(R^T = R\\) e \\(\\det(R) = 0\\)","","mc"
"Una matrice quadrata \\(S\\) si definisce antisimmetrica (skew-symmetric) se e solo se soddisfa quale relazione?","\\(S^T = -S\\)","\\(S^T = S^{-1}\\)","\\(S^T = S\\)","\\(S^T S = I\\)","","mc"
"Per qualsiasi vettore \\(\\mathbf{x} \\in \\mathbb{R}^3\\) e matrice antisimmetrica \\(S(\\mathbf{v})\\), qual è il valore della forma quadratica \\(\\mathbf{x}^T S(\\mathbf{v}) \\mathbf{x}\\)?","0","1","\\(\\mathbf{v}^T \\mathbf{x}\\)","\\(-\\mathbf{x}^T \\mathbf{v}\\)","","mc"
"Qual è l'espressione corretta della formula di Rodrigues per una rotazione di un angolo \\(\\theta\\) attorno a un asse unitario \\(\\mathbf{r}\\)?","R(theta, r) = r*r^T + (I - r*r^T)*cos(theta) + S(r)*sin(theta)","R(theta, r) = r*r^T + (I - r*r^T)*sin(theta) + S(r)*cos(theta)","R(theta, r) = I*cos(theta) + S(r)*sin(theta)","R(theta, r) = r*r^T + I*cos(theta) - S(r)*sin(theta)","","formula"
"Qual è la relazione tra la traccia di una matrice di rotazione \\(R(\\theta, \\mathbf{r})\\) e l'angolo di rotazione \\(\\theta\\)?","trace(R) = 1 + 2*cos(theta)","trace(R) = 1 + cos(theta)","trace(R) = 2*cos(theta)","trace(R) = 3*cos(theta)","","formula"
"Se una sequenza di rotazioni viene eseguita rispetto agli assi mobili del frame corrente, l'ordine di composizione delle matrici prevede una moltiplicazione da destra (post-moltiplicazione).","T","","","","","tf"
"Dati i tre angoli di Eulero ZXZ \\((\\phi, \\theta, \\psi)\\), qual è il valore dell'elemento della matrice di rotazione \\(R_{33}\\)?","cos(theta)","sin(theta)","cos(phi)*cos(psi)","sin(phi)*sin(psi)","","mc"
"Qual è la definizione del quaternione unitario \\(Q = \\{\\eta, \\boldsymbol{\epsilon}\\}\\) associato a una rotazione \\(\\theta\\) attorno all'asse \\(\\mathbf{r}\\)?","{cos(theta/2), r*sin(theta/2)}","{cos(theta), r*sin(theta)}","{sin(theta/2), r*cos(theta/2)}","{cos(theta/2), sin(theta/2)}","","formula"
"Le coppie asse/angolo \\((\\theta, \\mathbf{r})\\) e \\((-\\theta, -\\mathbf{r})\\) generano due quaternioni unitari con segno opposto, ma rappresentano la stessa identica rotazione fisica.","T","","","","","tf"
"Data la matrice di trasformazione omogenea \\(T = \\begin{pmatrix} R & \\mathbf{p} \\\\ \\mathbf{0}^T & 1 \\end{pmatrix}\\), qual è la sua inversa \\(T^{-1}\\)?","[R^T, -R^T*p; 0^T, 1]","[R^T, -p; 0^T, 1]","[R, -R^T*p; 0^T, 1]","[R^T, R*p; 0^T, 1]","","formula"
"Dati tre frame generici \\(RF_1, RF_2, RF_3\\), l'operazione di cambiamento di coordinate soddisfa la regola di composizione (chain rule) \\(^{0}R_{3} = {^0R_1} {^1R_2} {^2R_3}\\).","T","","","","","tf"
"In uno spazio tridimensionale (p=3), l'applicazione di rotazioni successive a un singolo vettore è computazionalmente più conveniente tramite prodotti matrice-vettore sequenziali piuttosto che pre-moltiplicando prima tutte le matrici di rotazione.","T","","","","","tf"
"Si ha una singolarità di rappresentazione per gli angoli di Eulero ZXZ quando:","sin(theta) = 0","cos(theta) = 0","sin(phi) = 0","cos(psi) = 0","","mc"
"Nelle rotazioni Roll-Pitch-Yaw (RPY) l'orientamento finale è ottenuto tramite rotazioni eseguite rispetto agli assi del sistema di riferimento fisso.","T","","","","","tf"
"Se l'espressione di un quaternione unitario ha la parte scalare \\(\\eta = 0\\), allora l'angolo di rotazione associato è pari a:","pi | -pi","0","pi/2","pi/4","","formula"
