domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"Visual recognition tasks include classification, object detection, semantic segmentation, and instance segmentation.",T,tf,,,,,
"Transfer learning pre-trains a model on a large dataset, then fine-tunes it on a smaller task-specific dataset.",T,tf,,,,,
"The Bag-of-Words model achieves spatial invariance by representing images as histograms of local features.",T,tf,,,,,
"In the BoW pipeline, the visual vocabulary is built by clustering feature vectors using which method?",k-means,mc,SVM,PCA,RANSAC,,
"In BoW, each image is represented by a frequency histogram of its assigned visual words.",T,tf,,,,,
"CNNs consist of which three main layer types?",Convolutional. pooling. fully-connected,mc,Input. hidden. output,Encoder. bottleneck. decoder,Residual. dense. dropout,,
"Convolutional layers leverage weight sharing to reduce the number of learnable parameters versus fully-connected layers.",T,tf,,,,,
"Pooling (downsampling) layers reduce spatial resolution to increase the receptive field of later neurons.",T,tf,,,,,
"For multi-class classification, the final layer applies which function to convert logits into a probability distribution?",Softmax,mc,Sigmoid,ReLU,Tanh,,
"CNN classification is trained by minimizing which loss?",Cross-entropy loss,mc,Mean squared error,Hinge loss,L1 loss,,
"ResNet enables training of deep networks via residual connections that let gradients bypass layers.",T,tf,,,,,
"Residual connections help mitigate which problem?",Vanishing gradient,mc,Overfitting,Aliasing,Class imbalance,,
"Semantic segmentation performs pixel-level predictions using an encoder-decoder architecture.",T,tf,,,,,
"In an encoder-decoder, the encoder progressively downsamples to learn high-level features.",T,tf,,,,,
"Skip connections combine coarse decoder information with fine encoder information (as in U-Net).",T,tf,,,,,
"The main object-detection evaluation metric is mean average precision (mAP).",T,tf,,,,,
"A detection is deemed correct if its intersection-over-union with a ground-truth box is at least:",0.5,mc,0.75,0.9,0.25,,
"Two-stage detectors first propose candidate regions and then classify them.",T,tf,,,,,
"R-CNN generated region proposals using which method?",Selective Search,mc,Region Proposal Network,Anchor boxes,k-means,,
"Fast R-CNN runs the CNN once on the whole image and uses RoI Pooling to extract fixed-size features per proposal.",T,tf,,,,,
"Faster R-CNN replaced the external region proposal method with a learnable Region Proposal Network (RPN).",T,tf,,,,,
"The RPN predicts objectness and box refinements relative to pre-defined anchor boxes of various scales and aspect ratios.",T,tf,,,,,
"Single-stage detectors like YOLO and SSD predict boxes and class probabilities directly in a single pass.",T,tf,,,,,
"Single-stage detectors are generally faster but can be less accurate than two-stage methods.",T,tf,,,,,
"Feature Pyramid Networks (FPN) recognize objects at multiple scales using a multi-scale feature pyramid with a top-down path and lateral connections.",T,tf,,,,,
"Mask R-CNN extends Faster R-CNN by adding a parallel branch that predicts a pixel-level segmentation mask per object.",T,tf,,,,,
"Mask R-CNN replaces RoI Pooling with which more precise layer?",RoIAlign,mc,RoI Pooling,Max Pooling,Average Pooling,,
"Panoptic segmentation unifies semantic segmentation (stuff) and instance segmentation (things) into one output.",T,tf,,,,,
"Explain the Bag-of-Words model for image classification and contrast it with how CNNs represent images.","Bag-of-Words achieves spatial invariance by representing an image as a histogram of local features, ignoring their arrangement. Pipeline: detect/describe features (e.g. SIFT), cluster all training descriptors with k-means to form a visual vocabulary, assign each descriptor to its nearest visual word, represent each image by the frequency histogram of visual words, then train a classifier (e.g. SVM). CNNs instead learn hierarchical features end-to-end: convolutional layers apply learnable filters with weight sharing (far fewer parameters than fully-connected), pooling layers reduce resolution and grow the receptive field, and fully-connected layers classify; output uses softmax with cross-entropy loss. Transfer learning pre-trains on a large dataset then fine-tunes on a smaller task.",aperta,,,,,
"Describe the evolution of object detectors from R-CNN to Faster R-CNN and single-stage detectors.","Two-stage detectors propose regions then classify them. R-CNN (2014) used Selective Search for ~2k proposals and ran a CNN on each independently - accurate but slow. Fast R-CNN (2015) ran the CNN once on the whole image to make a feature map, projected proposals onto it, and used RoI Pooling to extract fixed-size features - much faster. Faster R-CNN (2015) replaced external proposals with a learnable Region Proposal Network that slides over the feature map and predicts objectness and box refinements relative to anchor boxes of various scales/aspect ratios. Single-stage detectors (YOLO, SSD) skip proposals and predict boxes and classes directly in one pass: faster but often less accurate. mAP (IoU >= 0.5) is the main metric.",aperta,,,,,
"Compare semantic segmentation, instance segmentation, and panoptic segmentation, and explain the architectures involved.","Semantic segmentation labels every pixel with a class using an encoder-decoder: the encoder (e.g. ResNet) downsamples to learn high-level features, the decoder upsamples to a full-resolution map, and skip connections combine coarse decoder context with fine encoder detail (U-Net). Instance segmentation distinguishes individual object instances: Mask R-CNN extends Faster R-CNN with a parallel mask-prediction branch and replaces RoI Pooling with the more precise RoIAlign for accurate masks. Panoptic segmentation unifies the two, labeling amorphous stuff (sky, road) via semantic segmentation and countable things (cars, people) via instance segmentation into one comprehensive output. FPNs help by building a multi-scale feature pyramid with a top-down path and lateral connections.",aperta,,,,,
