domanda,risposta
"An IPSP consists of a depolarization of the post-synaptic cell membrane.","F"
"The inactivation of the voltage-gated Na+ channel is responsible for the absolute refractory period.","T"
"The most informative parameter of the spike train in output to a neuronal cell is the amplitude of the spikes.","F"
"The firing rate of the pre-synaptic neuron influences the temporal summation of the PSPs in the post-synaptic cell.","T"
"The frontal lobe houses the primary visual function.","F"
"In the primary motor cortex (Penfield homunculus) the extension of the cortical region which controls a specific body region is proportional to that body region's volume.","F"
"To record in vivo measures of the membrane potential over the axon of a single neural cell, you will use extracellular measures.","T"
"The EEG signal is mainly generated by action potentials.","F"
"The tuning curve in the figure shows (panel B) the firing rate f of a neuron in the primary visual cortex as a function of the retinal disparity angle s (panel A). From the figure, we can infer that the neuron responds mainly to positive s (far-tuned neuron).","T"
"In reference to the previous figure: from the curve, if the retinal disparity is equal to -0.5, I can infer which firing rate will be produced by the neuron","T"
"In reference to the previous figure: from the curve, if the neuron firing rate is equal to 0 Hz I can exactly infer which retinal disparity produced that response","F"
"To record in vitro measures of the membrane potential over the dendrites of a neural cell, you will use extracellular measures","F"
"The part of the pyramidal neuron that acts as a current dipole is the axon","F"
"The discriminability d’ when the coherence=3.2% is higher than when it’s =12.8%","F"
"In reference to the previous figure, among the two distributions (r+ or r-), r+ is the one affected by the coherence level","T"
"The normalized Partial Directed Coherence ∈[0, 1]","T"
"The Granger Test is more suitable than the Ordinary Coherence to obtain a spectral measure","F"
"If Cxy(f) is the ordinary coherence between x and y, Cxy(f)=Cyx(f)","T"
"The difference between the Wiener’s and Granger’s definitions of causality in the statistical sense is that Granger indicated a modeling framework to be used to test causality","T"
"Regular networks have a smaller Global Efficiency than random networks","T"
"Regular networks have a smaller Local Efficiency than random networks","F"
"Undirected graphs produce symmetrical adjacency matrices","T"
"Given the Granger Index Gxy between two time series x and y, a negative value of Gx->y means an inverse precedence between the two time","F"
"Using Partial Directed Coherence completely solves the problem of the hidden (common) source","F"
"The alpha rhythm can be observed by filtering the spontaneous EEG signal using a narrowband filter, with cutoff frequencies at 14 and 30 Hz (approximately)","F"
"The heart activity is likely to contaminate an EEG recording if the reference electrode is not placed on the head.","T"
"Evoked potential is synonymous of Event-Related Potentials","F"
"In an ERP, the response to a stimulus has a reduced amplitude when the SOA is too short.","T"
"In an ADC, quantization introduces a noise whose amplitude is proportional to the number L of discrete amplitude levels.","F"
"The artifact generated by eye movements can reach amplitudes up to 5μV in the EEG recordings","F"
"The synchronized average of N trials containing only spontaneous EEG whose variance is a signal whose variance is proportional to 1/N","T"
"The frequency response of a filter in the stopband should be plotted in a graph whose vertical axis has a logarithmic scale (i.e. the gain is expressed in dB).","T"
"The CMRR of a bipolar amplifier measures the ratio between the gain of their average with respect to the electrical ground and the gain of the potential difference between the input electrodes.","F"
"Aliasing occurs when an analog signal is sampled using a limited input range of the ADC.","F"
"Despite being more expensive, gold electrodes should be preferred to Ag/AgCl electrodes since they allow recording of extremely slow-changing EEG potentials.","F"
"EEG electrodes whose first letter of the label is “C” (e.g. “Cz”) are located on the central region of the head, i.e. the region between the left and the right hemisphere","F"
"The measurement of two monopolar EEG channels requires four electrodes – two collecting the potentials fed to the non-inverting input of the differential amplifier, one providing the reference potential and one providing the ground potential.","T"
"In analog-to-digital conversion, each spectral component of the analog signal should have frequency below the Nyquist frequency","T"
"In ERP analysis, the EEG continuous recording must be segmented into epochs (trials) of fixed duration, each aligned to a repetition of the event","T"
"The Central Limit Theorem (CLT) states that the average of N zero-mean independent identically distributed signals approaches zero for N → ∞.","T"
