domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"Global features describe an image as a whole and are used to detect whether an object is present.",T,tf,,,,,
"Local features describe image patches or keypoints and are used for object recognition by matching parts.",T,tf,,,,,
"Which is NOT a required property of good local features?",Globally unique color,mc,Numerous,Distinctive,Invariant to transformations,,
"Good local features must be invariant to photometric and geometric transformations.",T,tf,,,,,
"The Harris corner detector finds points by shifting a small window and checking where strong appearance changes occur.",T,tf,,,,,
"The sum of squared differences for a window shifted by (u,v) is E(u,v) =",sum_{(x.y) in W} [I(x+u.y+v) - I(x.y)]^2,formula,,,,,
"A corner is a point where E(u,v) is high for all small shifts (u,v).",T,tf,,,,,
"Using a first-order Taylor expansion, I(x+u,y+v) is approximated by I(x,y) + Ix*u + Iy*v.",T,tf,,,,,
"After expansion, E(u,v) becomes a quadratic form E(u,v) ~ Au^2 + 2Buv + Cv^2 where B =",sum I_x*I_y,formula,,,,,
"The second moment matrix H summarizes the gradient distribution within the window W.",T,tf,,,,,
"In the second moment matrix, the top-left entry A equals:",sum of Ix^2,mc,sum of Iy^2,sum of Ix*Iy,sum of I,,
"The eigenvectors of H correspond to the directions of maximum and minimum intensity change.",T,tf,,,,,
"If both eigenvalues of H are small, the region is classified as:",Flat,mc,Edge,Corner,Blob,,
"If one eigenvalue is much larger than the other (lambda1 >> lambda2), the region is an edge.",T,tf,,,,,
"A corner corresponds to both eigenvalues being large and of similar magnitude.",T,tf,,,,,
The Harris response function avoids explicit eigenvalue computation; it is R =,det(H) - k*trace(H)^2,formula,,,,,
"The empirical constant k in the Harris response is typically in which range?",0.04 to 0.06,mc,0.5 to 0.6,1 to 2,0.001 to 0.002,,
"The Harris response R is large and positive for a corner, large and negative for an edge, and small for a flat region.",T,tf,,,,,
"In the Harris algorithm, what is the final step after thresholding the response map?",Non-maximum suppression,mc,Gaussian smoothing,Eigenvalue decomposition,Histogram equalization,,
"The Harris detector is equivariant to rotation and translation.",T,tf,,,,,
"The Harris detector is fully invariant to brightness shifts (+b) but only partially to contrast changes (xa).",T,tf,,,,,
"The Harris detector is scale invariant.",F,tf,,,,,
"Scale-invariant blobs are detected by finding their characteristic scale, where a response function is maximized over (x,y,sigma).",T,tf,,,,,
"The scale-normalized LoG blob detector is nabla^2_norm g =",sigma^2 * (d^2g/dx^2 + d^2g/dy^2),formula,,,,,
"Why multiply the LoG by sigma^2 (scale normalization)?",To make the response comparable across scales,mc,To speed up convolution,To remove noise,To reduce memory,,
"For efficiency, instead of applying larger filters one builds a Gaussian pyramid and applies a fixed-size filter to each level.",T,tf,,,,,
"When applying a fixed-size LoG filter at pyramid level 1 (downsampled by 2x), the effective scale relative to the original becomes:",2 x sigma_filter,formula,,,,,
"The characteristic scale of a detected blob is the scale at which its LoG response is maximized.",T,tf,,,,,
"Explain the mathematics of the Harris corner detector, from the SSD error to the second moment matrix and its eigenvalues.","Harris detects corners by checking how much a small window changes when shifted by (u,v), measured by SSD E(u,v)=sum over W of [I(x+u,y+v)-I(x,y)]^2. Using a first-order Taylor expansion I(x+u,y+v)~I+Ix*u+Iy*v, E becomes a quadratic form E~[u v] H [u v]^T where H (the second moment matrix / structure tensor) sums Ix^2, Ix*Iy, Iy^2 over the window. The eigenvalues of H describe the intensity change: both small = flat region; one large one small = edge; both large and similar = corner. The eigenvectors give the directions of max/min change.",aperta,,,,,
"Describe the full Harris detector algorithm and its invariance properties and limitations.","Algorithm: (1) compute derivatives Ix, Iy (e.g. Sobel); (2) for each pixel build H over a Gaussian window; (3) compute the response R=det(H)-k*trace(H)^2 (k~0.04-0.06), which is large positive at corners, large negative at edges, small on flat regions, approximating eigenvalue behavior without computing eigenvalues; (4) threshold R; (5) non-maximum suppression to get final corners. Harris is equivariant to rotation and translation and invariant to brightness shifts (+b), only partially invariant to contrast scaling (xa, since R scales and affects thresholding), and crucially not scale invariant because a corner can look like an edge or flat region when zoomed.",aperta,,,,,
"Explain scale-invariant blob detection: characteristic scale, the normalized LoG, and efficient implementation.","To overcome Harris's lack of scale invariance, blobs are detected by finding their characteristic scale: the scale sigma in 3D scale-space (x,y,sigma) where a response function is maximized. The scale-normalized LoG, sigma^2*(d2g/dx2 + d2g/dy2), is a common blob detector; the sigma^2 factor makes responses comparable across scales. The characteristic scale is where the LoG response peaks. For efficiency, rather than applying ever-larger filters, build a Gaussian pyramid and apply a fixed-size filter per level; at a level downsampled by 2x the effective scale relative to the original doubles (2*sigma_filter), and so on.",aperta,,,,,
