domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"Optical flow is the apparent motion of objects, surfaces, and edges caused by relative motion between camera and scene.",T,tf,,,,,
"Optical flow is a 2D vector field where each vector is a pixel displacement between two subsequent frames.",T,tf,,,,,
"The motion field is the true 2D projection of the 3D motion of scene points onto the image plane.",T,tf,,,,,
"Optical flow is the apparent motion of brightness patterns and is an approximation of the motion field.",T,tf,,,,,
"A rotating, uniformly lit Lambertian sphere has a motion field but zero optical flow.",T,tf,,,,,
"A stationary specular sphere with a moving light source has zero motion field but nonzero optical flow.",T,tf,,,,,
"Stereo uses two images from different viewpoints taken at the same time, used for 3D depth estimation.",T,tf,,,,,
"In stereo, the correspondence problem is reduced to which dimensionality by epipolar constraints?",1D,mc,2D,3D,0D,,
"Optical flow uses two images from the same viewpoint taken at different times.",T,tf,,,,,
"Optical flow is a 2D estimation problem where each pixel's displacement can be in any direction and magnitude.",T,tf,,,,,
"The aperture problem means that, for a moving edge seen through a small aperture, only the motion perpendicular to the edge can be determined.",T,tf,,,,,
"Which is NOT one of the assumptions used to estimate optical flow?",Constant illumination color,mc,Brightness constancy,Small motion,Spatial coherence,,
"The brightness constancy equation states I(x,y,t) =",I(x+u*dt. y+v*dt. t+dt),formula,,,,,
"After linearizing with a Taylor expansion, the optical flow constraint equation is:",I_x*u + I_y*v + I_t = 0,formula,,,,,
"In the optical flow constraint, Ix and Iy are spatial image gradients and It is the temporal gradient (frame difference).",T,tf,,,,,
"The optical flow constraint gives one equation but two unknowns, making it an underconstrained problem.",T,tf,,,,,
"The solutions to the single optical flow constraint equation lie on a line in (u,v) space.",T,tf,,,,,
"The Lucas-Kanade method adds which assumption to make the problem solvable?",Spatial coherence (constant flow in a patch),mc,Brightness inconstancy,Global smoothness,Large motion,,
"For an N x N patch, Lucas-Kanade builds an overdetermined system Ax = b solved by linear least squares.",T,tf,,,,,
"In Lucas-Kanade, the matrix A^T A is the same second-moment matrix used in the Harris corner detector.",T,tf,,,,,
The Lucas-Kanade least-squares solution is x =,(A^T A)^{-1} A^T b,formula,,,,,
"Lucas-Kanade gives a reliable solution when A^T A is invertible and well-conditioned.",T,tf,,,,,
"In which region does A^T A become ill-conditioned due to the aperture problem (lambda1 >> lambda2 ~ 0)?",Edge,mc,Flat region,Corner,Textured region,,
"Lucas-Kanade flow can be reliably computed in corner/textured regions where both eigenvalues are large.",T,tf,,,,,
"Large motions violate the small-motion assumption and are handled with a coarse-to-fine strategy using image pyramids.",T,tf,,,,,
"In coarse-to-fine optical flow, the accumulated flow at a level is (u,v)^(1) =",(u.v)^(0) + delta(u.v)^(1),formula,,,,,
"Horn-Schunck assumes the optical flow is smooth across the entire image.",T,tf,,,,,
"The Horn-Schunck data term enforces the brightness constancy constraint.",T,tf,,,,,
"In Horn-Schunck, the smoothness term is controlled by which parameter?",The regularization parameter lambda,mc,The learning rate,The threshold epsilon,The scale sigma,,
"Horn-Schunck's quadratic penalty assumes Gaussian noise and causes oversmoothing at object boundaries.",T,tf,,,,,
"Robust regularization replaces quadratic penalties with robust loss functions to allow sharp changes at object boundaries.",T,tf,,,,,
"Define optical flow, distinguish it from the motion field, and contrast it with stereo.","Optical flow is the apparent motion of brightness patterns between two frames from the same camera at different times - a 2D vector field of per-pixel displacements, used to infer object velocity or camera motion. The motion field is the true 2D projection of actual 3D scene motion; optical flow only approximates it and they can differ (a rotating uniform Lambertian sphere has motion field but zero flow; a static specular sphere under a moving light has zero motion field but nonzero flow). Stereo instead uses two cameras at the same time from different viewpoints for depth, where epipolar constraints reduce correspondence search to 1D; optical flow is an unconstrained 2D search.",aperta,,,,,
"Derive the optical flow constraint equation, explain the assumptions, and why it is underconstrained (the aperture problem).","Assumptions: brightness constancy (a point's intensity stays constant over time), small motion, and spatial coherence (neighbors move similarly). Brightness constancy gives I(x,y,t)=I(x+u*dt,y+v*dt,t+dt). A first-order Taylor expansion and cancellation yields the optical flow constraint Ix*u+Iy*v+It=0, where Ix,Iy are spatial gradients and It the temporal gradient. This is one equation with two unknowns (u,v), so it is underconstrained: solutions lie on a line in (u,v) space and only the flow component along the gradient (perpendicular to an edge) is determined - the aperture problem.",aperta,,,,,
"Explain the Lucas-Kanade method, when it works, and how coarse-to-fine handles large motions.","Lucas-Kanade adds spatial coherence: assume constant flow in an NxN patch, giving N^2 equations for two unknowns - an overdetermined system Ax=b solved by least squares, x=(A^T A)^{-1} A^T b. Here A^T A is the same second-moment matrix as in Harris; the solution is reliable when A^T A is invertible and well-conditioned (both eigenvalues large), i.e. in corner/textured regions. It fails in flat regions (eigenvalues small) and along edges (one eigenvalue near zero - the aperture problem). Large motions violate the small-motion assumption and are handled coarse-to-fine: build Gaussian pyramids, estimate flow at the coarsest level where motion is small, upsample and warp the next frame toward the first, compute residual flow, accumulate, and repeat down to full resolution.",aperta,,,,,
"Explain the Horn-Schunck method, including its energy functional and the oversmoothing problem with robust regularization as a remedy.","Horn-Schunck assumes the flow is smooth across the whole image and minimizes an energy with a data term enforcing brightness constancy (integral of (Ix*u+Iy*v+It)^2) plus a smoothness term penalizing large flow variations (lambda * integral of ||grad u||^2+||grad v||^2), where lambda controls regularization strength. The quadratic penalty implicitly assumes Gaussian noise and is not robust to outliers, so it penalizes large flow changes too heavily and oversmooths across object boundaries. The remedy is robust regularization: replace quadratic penalties with robust loss functions that are less sensitive to large errors, allowing sharp flow discontinuities at boundaries while still smoothing elsewhere.",aperta,,,,,
