"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Una spline cubica che interpola \\(N\\) punti intermedi garantisce la continuità di quali derivate temporali nei passaggi per i nodi interni?","Posizione, velocità e accelerazione (classe C^2)","Posizione e velocità (classe C^1)","Solo la posizione (classe C^0)","Posizione, velocità, accelerazione e jerk (classe C^3)","","mc"
"Quali sono le condizioni al contorno applicate a una spline cubica definita naturale?","Accelerazione iniziale e finale nulla | q''(t_1) = 0 e q''(t_N) = 0","Velocità iniziale e finale nulla","Jerk iniziale e finale nullo","Velocità e accelerazione iniziali nulle","","mc"
"Esprimi il polinomio cubico doppiamente normalizzato \\(s(\\tau)\\) per una legge oraria con velocità iniziale e finale nulle (moto rest-to-rest) per \\(\\tau \\in [0, 1]\\).","-2*tau^3 + 3*tau^2 | 3*tau^2 - 2*tau^3","3*tau^2 - 3*tau^3","tau^3 - 2*tau^2 + tau","6*tau^5 - 15*tau^4 + 10*tau^3","","formula"
"Dato un profilo di velocità trapezoidale, in quale fase del movimento l'accelerazione del giunto è massima e costante?","Durante la fase di rampa iniziale (rampa di salita)","Durante la fase a velocità costante (crociera)","Durante la fase di rampa finale (rampa di discesa)","L'accelerazione è sempre nulla","","mc"
"Scrivi la formula per il calcolo del fattore di riscalamento temporale uniforme \\(k\\) quando i limiti di velocità \\(v_{max}\\) e accelerazione \\(a_{max}\\) vengono superati dai valori di picco \\(v_{peak}\\) e \\(a_{peak}\\).","max(v_peak/v_max, sqrt(a_peak/a_max))","max(v_peak/v_max, a_peak/a_max)","v_peak/v_max + a_peak/a_max","sqrt(v_peak/v_max * a_peak/a_max)","","formula"
"In una traiettoria cartesiana di tipo over-fly con accelerazione costante, la traiettoria geometrica di raccordo nell'intorno del punto di via (via-point) è:","Una parabola","Un arco di cerchio","Una spline cubica","Un segmento rettilineo","","mc"
"La terna di Frenet definita lungo una curva geometrica nello spazio cartesiano è composta da quali tre vettori unitari?","Tangente, normale, binormale","Ascissa, ordinata, quota","Radiale, tangenziale, assiale","Velocità, accelerazione, jerk","","mc"
"Scrivi la formula per la determinazione della curvatura geométrica \\(\\kappa(s)\\) di una traiettoria spaziale \\(\\mathbf{p}(s)\\).","||p'(s) \times p''(s)|| / ||p'(s)||^3","||p''(s)||","||p'(s) \times p''(s)||","||p'(s)|| / ||p''(s)||","","formula"
"Una traiettoria si definisce regolare se e solo se il vettore tangente alla traiettoria non si annulla mai in alcun punto.","T","","","","","tf"
"Nello spazio di Frenet, il vettore binormale \\(\\mathbf{b}\\) è definito tramite quale prodotto vettoriale tra il vettore tangente \\(\\mathbf{t}\\) e il vettore normale \\(\\mathbf{n}\\)?","t \times n | t(s) \times n(s)","n \times t","t^T * n","S(t)*n","","formula"
