domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"A camera acts as a dimensionality reduction machine, performing a projective transformation from 3D world to 2D image.",T,tf,,,,,
"Camera calibration is the process of computing the parameters of the camera's transformation.",T,tf,,,,,
"A pinhole camera uses a tiny aperture so that only a single ray from each scene point reaches the sensor, forming an inverted image.",T,tf,,,,,
"By similar triangles, the perspective projection gives xi =",f * (x_c / z_c),formula,,,,,
"In perspective projection, f denotes the focal length.",T,tf,,,,,
"Mapping the image plane to the sensor grid involves scaling by pixel density and translating by the principal point.",T,tf,,,,,
"The principal point is where the optical axis intersects the sensor/image plane.",T,tf,,,,,
"Grouping the scaling into focal lengths in pixels, the final pixel coordinate is u =",f_x * (x_c/z_c) + o_x,formula,,,,,
"Focal length in pixels is defined as fx = mx * f, where mx is pixels per mm horizontally.",T,tf,,,,,
"The full transformation from a 3D world point to a 2D pixel is u_tilde =",K [R t] x_w,formula,,,,,
"The intrinsic matrix K describes the camera's internal geometry (mapping 3D camera coords to 2D pixels).",T,tf,,,,,
"Which set are the intrinsic parameters?",fx. fy. ox. oy,mc,R and t,fx. fy. R,baseline. disparity,,
"The intrinsic matrix K is upper-triangular with fx and fy on the diagonal and (ox, oy) in the last column.",T,tf,,,,,
"The extrinsic matrix [R | t] describes the camera's pose, mapping 3D world coordinates to 3D camera coordinates.",T,tf,,,,,
"In the extrinsics, R is a 3x3 orthonormal rotation matrix and t is a 3x1 translation vector.",T,tf,,,,,
"Real lenses introduce radial and tangential distortions that can be estimated as intrinsic parameters to undistort the image.",T,tf,,,,,
"Calibration estimates the 3x4 projection matrix P. How many point correspondences are minimally needed?",6,mc,4,8,11,,
"P is defined up to a scale factor, so it has how many unknowns?",11,mc,12,8,6,,
"Each 3D-2D point correspondence provides how many linear equations for P?",2,mc,1,3,4,,
"Estimating P is a constrained least squares problem: minimize ||Ap||^2 subject to ||p|| = 1, solved via the eigenvector of A^T A for the smallest eigenvalue.",T,tf,,,,,
"To decompose P into K and R, which matrix factorization is used?",RQ factorization,mc,LU factorization,Cholesky,Eigendecomposition,,
"After decomposition with M as the left 3x3 of P, the rotation is R =",K^{-1} M,formula,,,,,
"Stereo vision infers depth from two or more cameras via triangulation.",T,tf,,,,,
"For a rectified stereo rig (R = I) with baseline b, depth from disparity is z =",b*f_x / d,formula,,,,,
"In stereo, a high disparity d means the 3D point is close to the camera.",T,tf,,,,,
"The disparity map is the horizontal displacement of each pixel between the two images.",T,tf,,,,,
"For rectified stereo pairs, stereo matching reduces to a 1D search along the same horizontal scanline.",T,tf,,,,,
"In rectified stereo, a 3D point projects to the same y coordinate in both images (vl = vr).",T,tf,,,,,
"Which similarity measures are used for window-based stereo matching?",SSD. SAD. NCC,mc,IoU. mAP. AUC,DFT. FFT. DCT,L1. L2. KL,,
"With window-based matching: a small window captures fine detail but produces a noisy disparity map.",T,tf,,,,,
"A large matching window is robust to noise but blurs discontinuities and fails at thin objects.",T,tf,,,,,
"Global stereo matching minimizes an energy with a data term plus a smoothness term weighted by lambda.",T,tf,,,,,
"In the stereo energy, the smoothness term enforces that neighboring pixels should have similar disparities.",T,tf,,,,,
"Explain the pinhole camera model and perspective projection, including how 3D camera coordinates become pixels.","A pinhole camera uses a tiny aperture so a single ray per scene point reaches the sensor, forming an inverted image and avoiding blur. By similar triangles, a 3D camera-frame point projects as xi=f*xc/zc and yi=f*yc/zc (f the focal length), a normalization onto the z=1 plane. Mapping the physical image plane to the pixel grid adds scaling by pixel density (mx,my pixels/mm) and a translation by the principal point (ox,oy). Grouping fx=mx*f and fy=my*f gives u=fx*xc/zc+ox and v=fy*yc/zc+oy.",aperta,,,,,
"Describe the full camera projection matrix, separating intrinsic and extrinsic parameters, and mention lens distortion.","The full transformation is u_tilde = P x_w = K[R|t] x_w in homogeneous coordinates. The intrinsic matrix K (upper-triangular with fx,fy on the diagonal and ox,oy in the last column) describes internal geometry mapping 3D camera coordinates to pixels; its parameters {fx,fy,ox,oy} are the intrinsics. The extrinsic matrix [R|t] describes the camera pose, mapping world to camera coordinates, with R a 3x3 orthonormal rotation and t a 3x1 translation; these are the extrinsics. Real lenses add radial and tangential distortion, which can be estimated as extra intrinsic coefficients to undistort the image.",aperta,,,,,
"Explain the camera calibration procedure: estimating P and decomposing it into K, R, and t.","Calibration estimates the 3x4 projection matrix P by observing an object of known geometry and at least 6 known 3D-2D correspondences (P has 11 unknowns since it is defined up to scale; each correspondence gives 2 equations). This forms a homogeneous system Ap=0, a constrained least squares problem (minimize ||Ap||^2 subject to ||p||=1) solved by the eigenvector of A^T A with the smallest eigenvalue; p is reshaped into P. To recover physical parameters, split P=[M|p4]=K[R|t]=[KR|Kt], so KR=M and Kt=p4; RQ factorization decomposes M into the upper-triangular K and orthonormal R, then t=K^{-1} p4.",aperta,,,,,
"Explain stereo vision: depth from disparity, stereo matching, and the global energy-minimization formulation.","Stereo infers depth by triangulation from two cameras. For a rectified rig (R=I, baseline b), depth is inversely proportional to disparity: z=b*fx/d with d=ul-ur (high disparity = near, low = far). The disparity map is found by stereo matching; for rectified pairs the search is 1D along the same horizontal scanline since corresponding points share the y coordinate (vl=vr). Window-based matching compares patches along the scanline using SSD/SAD/NCC: small windows capture detail but are noisy, large windows are robust but blur discontinuities and miss thin objects. To improve on local methods, stereo is posed as global energy minimization E(d)=sum data term (e.g. SSD per pixel) + lambda * sum smoothness term (penalizing disparity differences between neighbors).",aperta,,,,,
