"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Se si applica la sostituzione trigonometrica \\(u = \\tan(\\theta/2)\\), come si esprime il termine \\(\\sin(\\theta)\\) in funzione di \\(u\\)?","2*u / (1 + u^2)","(1 - u^2) / (1 + u^2)","2*u / (1 - u^2)","u / (1 + u^2)","","formula"
"Se si applica la sostituzione trigonometrica \\(u = \\tan(\\theta/2)\\), come si esprime il termine \\(\\cos(\\theta)\\) in funzione di \\(u\\)?","(1 - u^2) / (1 + u^2)","2*u / (1 + u^2)","(1 + u^2) / (1 - u^2)","1 / (1 + u^2)","","formula"
"Per un manipolatore planare 2R con lunghezze \\(l_1\\) e \\(l_2\\), qual è l'espressione corretta per il calcolo di \\(\\cos(q_2)\\) in funzione della posizione desiderata \\((p_x, p_y)\\)?","(px^2 + py^2 - l_1^2 - l_2^2) / (2*l_1*l_2)","(px^2 + py^2 + l_1^2 + l_2^2) / (2*l_1*l_2)","(px^2 - py^2 - l_1^2 - l_2^2) / (l_1*l_2)","(px^2 + py^2 - l_1^2 - l_2^2) / (l_1*l_2)","","formula"
"Qual è il numero massimo di soluzioni reali e distinte per la cinematica inversa di un robot generale a 6 giunti rotoidali (6R)?","16","8","4","32","","mc"
"Nelle vicinanze di una singolarità cinematica, il metodo numerico di Newton-Raphson per la cinematica inversa tende a convergere molto più velocemente grazie alla riduzione del determinante dello Jacobiano.","F","","","","","tf"
"Scrivi la legge di aggiornamento iterativo per il metodo di Newton-Raphson applicato alla cinematica inversa.","q_{k+1} = q_k + J_r^-1(q_k) * (r_d - f_r(q_k))","q_{k+1} = q_k - J_r(q_k) * (r_d - f_r(q_k))","q_{k+1} = q_k + J_r^T(q_k) * (r_d - f_r(q_k))","q_{k+1} = q_k + J_r^-1(q_k) * f_r(q_k)","","formula"
"Scrivi l'equazione di aggiornamento iterativo per il metodo del Gradiente (trasposta dello Jacobiano) per la cinematica inversa con passo \\(\\alpha\\).","q_{k+1} = q_k + alpha * J_r^T(q_k) * (r_d - f_r(q_k))","q_{k+1} = q_k - alpha * J_r^-1(q_k) * (r_d - f_r(q_k))","q_{k+1} = q_k + alpha * J_r(q_k) * (r_d - f_r(q_k))","q_{k+1} = q_k + J_r^T(q_k) * (r_d - f_r(q_k))","","formula"
"Quale funzione candidata di Lyapunov viene tipicamente utilizzata per dimostrare la stabilità asintotica del metodo del Gradiente applicato alla cinematica inversa?","1/2 * (r_d - f_r(q))^T * (r_d - f_r(q)) | 1/2 * e^T * e","1/2 * q^T * q","det(J(q))","1/2 * (r_d - f_r(q))^T * J(q) * (r_d - f_r(q))","","formula"
"Nel caso di un manipolatore antropomorfo (gomito alto/basso), quante soluzioni reali della cinematica inversa esistono per un punto interno allo spazio di lavoro non singolare?","4","2","8","Infinite","","mc"
"Se un robot è cinematicamente ridondante (m < n), il sistema di equazioni cinematiche per un dato punto dello spazio di lavoro ammette in genere infinite soluzioni.","T","","","","","tf"
