domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa,punti_chiave,immagine
"La Fast Fourier Transform (FFT) riduce la complessità computazionale del calcolo della DFT da O(N^2) a O(N log N).",V,tf,,,,,,,
"Il componente DC (frequenza zero) nello spettro di Fourier 2D rappresenta la direzione dei bordi a massimo contrasto dell'immagine.",F,tf,,,,,,,
"Strisce verticali fitte nell'immagine spaziale generano picchi di energia distribuiti lungo l'asse orizzontale nello spettro delle frequenze 2D.",V,tf,,,,,,,
"Lo spettro di ampiezza contiene le informazioni sulla posizione spaziale dei bordi, mentre lo spettro di fase contiene solo l'energia totale.",F,tf,,,,,,,
"Se combiniamo l'ampiezza dell'immagine A con la fase dell'immagine B e applichiamo l'antitrasformata IFFT, la struttura visiva risultante assomiglierà all'immagine B.",V,tf,,,,,,,
"Il teorema della convoluzione afferma che la convoluzione nel dominio dello spazio equivale alla somma algebrica nel dominio della frequenza.",F,tf,,,,,,,
"Allargare o stirare un segnale nello spazio causa una compressione della sua rappresentazione nello spettro delle frequenze.",V,tf,,,,,,,
"Il Box Filter ha una Trasformata di Fourier di tipo Gaussiano senza lobi laterali.",F,tf,,,,,,,
"La Trasformata di Fourier di una funzione Gaussiana nello spazio è un'altra funzione Gaussiana nel dominio della frequenza.",V,tf,,,,,,,
"I ringing artifacts prodotti dallo sfocamento con un Box Filter sono causati dai lobi laterali della funzione Sinc nel dominio della frequenza.",V,tf,,,,,,,
"Nelle immagini ibride, l'immagine ad alta frequenza domina la percezione quando l'osservatore guarda il quadro da grande distanza.",F,tf,,,,,,,
"Il supporto spaziale ideale di una maschera Gaussiana viene solitamente scelto pari a circa 3 volte la sua deviazione standard (3*sigma).",V,tf,,,,,,,
"Qual è il costo computazionale dell'algoritmo Fast Fourier Transform (FFT) per un segnale di lunghezza N?",O(N log N),mc,O(N^2),O(N),O(N^2 log N),,,
"Cosa misura il componente DC (frequenza u=0, v=0) nello spettro di Fourier 2D di un'immagine?",Il valore medio dell'intensità di tutti i pixel dell'immagine,mc,Il gradiente massimo sui bordi,La direzione della struttura ad alta frequenza,Il livello di rumore salt-and-pepper,,,
"Perché si preferisce la funzione atan2(I, R) rispetto ad arctan(I/R) per il calcolo della fase nello spettro di Fourier?",Perché gestisce correttamente il segno e il quadrante del numero complesso evitando divisioni per zero,mc,Perché è più veloce da calcolare sulla GPU,Perché elimina la componente DC,Perché converte la fase direttamente in dB,,,
"Quale fenomeno visivo è causato dai lobi laterali della funzione Sinc quando si filtra un'immagine con un Box Filter?",Ringing artifacts,mc,Aliasing di Nyquist,Salt-and-pepper noise,Barrel distortion,,,
"Nelle Immagini Ibride (Hybrid Images), quale filtro viene applicato all'immagine che si desidera percepire da LONTANO?",Filtro passa-basso Gaussiano,mc,Filtro passa-alto Laplaciano,Filtro di Sobel,Filtro Mediana,,,
"Equazione del Teorema della Convoluzione (Trasformata di g convolvuto con h)",F\{g * h\} = F\{g\} * F\{h\},formula,,,,,F\{g * h\} = F\{g\} \cdot F\{h\}|\mathcal{F}\{g * h\} = \mathcal{F}\{g\} \cdot \mathcal{F}\{h\},,
"Formola dell'Ampiezza A(omega) dati la parte reale R e immaginaria I nello spettro di Fourier",A(\omega) = \sqrt(R(\omega)^2 + I(\omega)^2),formula,,,,,\sqrt{R(\omega)^2 + I(\omega)^2}|sqrt(R(\omega)^2 + I(\omega)^2),,
"Formola della Fase phi(omega) dati la parte reale R e immaginaria I nello spettro di Fourier",\phi(\omega) = \operatorname{atan2}(I(\omega), R(\omega)),formula,,,,,\text{atan2}(I(\omega), R(\omega))|atan2(I(\omega), R(\omega)),,
"Spiegare la differenza tra Spettro di Ampiezza e Spettro di Fase e chiarire perché la Fase è fondamentale per la ricostruzione della struttura visiva.","L'ampiezza A(omega) misura la quantità di energia presente a ciascuna frequenza spaziale, ma è priva di informazioni sulla posizione dei dettagli nell'immagine. La fase phi(omega) codifica l'allineamento spaziale relativo delle sinusoidi, determinando dove i contorni e le strutture si formano nello spazio. Se si scambiano ampiezza e fase tra due immagini A e B (usando ampiezza di A e fase di B per ricostruire l'immagine tramite IFFT), l'immagine risultante mostrerà la struttura visiva dell'immagine B, dimostrando che la fase domina la percezione della geometria della scena.",aperta,,,,,,,"Ampiezza misura la quantita di energia per frequenza senza posizione|Fase codifica l allineamento spaziale relativo delle sinusoidi|Fase determina la posizione di bordi e strutture nello spazio|Esperimento di scambio fase ampiezza tra immagini A e B|L immagine ricostruita eredita la struttura visiva dall immagine che fornisce la fase",
"Spiegare perché il filtro Gaussiano è preferibile al Box Filter per il filtraggio passa-basso nel dominio delle frequenze.","Il Box Filter ha una forma netta con discontinuità nello spazio e la sua Trasformata di Fourier è una funzione Sinc con lobi laterali (sidelobes). Questi lobi laterali attenuano le alte frequenze in modo imperfetto, introducendo ondulazioni visive chiamate 'ringing artifacts' attorno ai bordi dell'immagine filtrata. Il filtro Gaussiano è invece liscio (smooth) sia nel dominio dello spazio che in quello della frequenza (la Fourier di una Gaussiana è un'altra Gaussiana). Non presenta lobi laterali, garantendo un'attenuazione pulita delle alte frequenze senza generare alcun artefatto di ringing.",aperta,,,,,,,"Box filter nello spazio corrisponde a una funzione Sinc in frequenza|Lobi laterali della Sinc causano artefatti di ringing sui bordi|Filtro Gaussiano e smooth sia nello spazio che in frequenza|Trasformata di Fourier della Gaussiana e un altra Gaussiana|Assenza di lobi laterali e attenuazione pulita senza ringing",
"Spiegare il funzionamento delle Immagini Ibride e il motivo per cui la loro percezione cambia con la distanza dell'osservatore.","Le Immagini Ibride si creano combinando le basse frequenze di un'immagine A (filtrata con un passa-basso Gaussiano) e le alte frequenze di un'immagine B (filtrata con un passa-alto). La percezione varia con la distanza perché il sistema visivo umano (occhio) agisce come un filtro passa-basso naturale la cui frequenza di taglio diminuisce con l'aumentare della distanza. Da vicino, l'occhio ad alta risoluzione percepisce i dettagli fini dell'immagine B (alte frequenze). Da lontano, l'occhio non riesce a risolvere le frequenze alte e le filtra, facendo emergere la struttura grossolana dell'immagine A (basse frequenze).",aperta,,,,,,,"Combinazione basse frequenze di un immagine A e alte frequenze di B|Filtro passa basso Gaussiano e filtro passa alto|Occhio umano agisce da filtro passa basso naturale con la distanza|Da vicino dominano i dettagli fini ad alta frequenza|Da lontano l occhio filtra le alte frequenze facendo emergere la struttura a bassa frequenza",
