domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"Epipolar geometry relates the 2D projections of a 3D point observed from two different camera views.",T,tf,,,,,
"The baseline is the line segment connecting the two camera centers.",T,tf,,,,,
"The epipolar plane is defined by a 3D point X and the two camera centers.",T,tf,,,,,
"The epipoles are the points where the baseline intersects the two image planes.",T,tf,,,,,
"The epipole in the first image is the projection of the second camera's center.",T,tf,,,,,
"All epipolar lines in an image pass through the epipole.",T,tf,,,,,
"The epipolar constraint reduces the correspondence search space from a 2D image to a 1D line.",T,tf,,,,,
"For a point x in the first image, its corresponding point in the second image must lie on the epipolar line l'.",T,tf,,,,,
"The essential matrix E encodes the epipolar constraint for calibrated cameras (K known).",T,tf,,,,,
"The fundamental epipolar constraint with the essential matrix is:",x'^T E x = 0,formula,,,,,
"Normalized image coordinates are obtained from pixels by x =",K^{-1} p,formula,,,,,
"Multiplying pixel coordinates by K^{-1} converts them to those of an ideal pinhole camera (f=1, principal point at origin) on the z=1 plane.",T,tf,,,,,
"The cross product t x x gives a vector orthogonal to the epipolar plane.",T,tf,,,,,
"The essential matrix is defined as E =",R [t]_x,formula,,,,,
"The essential matrix relates points in normalized camera coordinates.",T,tf,,,,,
"What is the rank of the essential matrix?",2,mc,1,3,4,,
"How many degrees of freedom does the essential matrix have?",5,mc,7,8,9,,
"The essential matrix has two equal non-zero singular values.",T,tf,,,,,
"Both E and H are 3x3, but E maps a point to a line while H maps a point to a point.",T,tf,,,,,
"The fundamental matrix F generalizes E for uncalibrated cameras and operates directly on pixel coordinates.",T,tf,,,,,
"The fundamental matrix constraint is:",p'^T F p = 0,formula,,,,,
The fundamental matrix is defined as F =,K'^{-T} E K^{-1},formula,,,,,
"What is the rank of the fundamental matrix?",2,mc,1,3,7,,
"How many degrees of freedom does the fundamental matrix have?",7,mc,5,8,9,,
"Ranked by DOFs: H has 8 (rank 3), F has 7 (rank 2), and E has 5 (rank 2).",T,tf,,,,,
"Homography is a special case of E and F for planar scenes.",T,tf,,,,,
"The fundamental matrix can be estimated from corresponding points without knowing any camera parameters.",T,tf,,,,,
"Since F is defined up to scale, how many point correspondences does the 8-point algorithm need?",8,mc,4,5,7,,
"The basic 8-point algorithm is sensitive to noise because columns of A can have vastly different magnitudes.",T,tf,,,,,
"The normalized 8-point algorithm translates points so their centroid is at the origin and scales so the average distance is:",sqrt(2),mc,1,2,sqrt(3),,
"In the normalized 8-point algorithm, the rank-2 constraint is enforced by setting the smallest singular value of F to zero via SVD.",T,tf,,,,,
"In the normalized 8-point algorithm, the final step denormalizes via F =",T'^T F_hat' T,formula,,,,,
"Triangulation finds the 3D location of a point given the camera projection matrices and point correspondences.",T,tf,,,,,
"Linear triangulation rewrites x ~ PX as a cross product to eliminate the unknown scale factor: x x (PX) = 0.",T,tf,,,,,
"Combining both views, linear triangulation solves a homogeneous system AX = 0 using which method?",SVD,mc,Gaussian elimination,Gradient descent,k-means,,
"The linear SVD triangulation minimizes an algebraic error, not the true geometric (reprojection) error.",T,tf,,,,,
"Which technique minimizes the reprojection error for accurate 3D point estimation?",Bundle adjustment,mc,RANSAC,k-means,Histogram equalization,,
"Define the key elements of epipolar geometry (baseline, epipolar plane, epipoles, epipolar lines) and state the epipolar constraint and its usefulness.","Epipolar geometry relates the two projections of a 3D point seen from two views. The baseline connects the two camera centers; the epipolar plane is defined by the 3D point and both centers; the epipoles are where the baseline meets each image plane (the epipole in one image is the projection of the other camera's center); the epipolar line is the intersection of the epipolar plane with an image plane, and all epipolar lines pass through the epipole. The epipolar constraint says a point x in one image has its correspondence on the epipolar line l' in the other image, because the 3D point lies on the back-projected ray whose projection is l'. This reduces the correspondence search from 2D to a 1D line, greatly simplifying matching (especially for unrectified pairs).",aperta,,,,,
"Derive and explain the essential matrix, listing its properties.","For calibrated cameras (K known), work in normalized coordinates x=K^{-1} p (which converts pixels to an ideal f=1 camera on the z=1 plane). With R,t transforming the first camera frame to the second, the two optical centers and the 3D point are coplanar, giving the coplanarity condition (x-t)^T (t x x)=0 (the cross product t x x is orthogonal to the epipolar plane). Using the skew-symmetric form [t]_x and substituting the transformation yields x'^T E x = 0 with the essential matrix E=R[t]_x. Properties: it relates points in normalized camera coordinates, has rank 2 (det=0 since [t]_x is rank 2), has 5 DOF (3 rotation + 2 translation direction), and has two equal nonzero singular values. Unlike a homography (point to point), E maps a point to an epipolar line.",aperta,,,,,
"Explain the fundamental matrix, how it relates to the essential matrix, and how the (normalized) 8-point algorithm estimates it.","The fundamental matrix F generalizes E to uncalibrated cameras, operating directly on pixels: p'^T F p = 0, with F=K'^{-T} E K^{-1}=K'^{-T} [t]_x R K^{-1}. It has rank 2 (det=0), 7 DOF (8 from a projective map minus 1 for rank), maps pixels to epipolar lines, and provides a weak calibration. Ranking: H rank 3 / 8 DOF, F rank 2 / 7 DOF, E rank 2 / 5 DOF; homography is a special case for planar scenes. The 8-point algorithm uses >=8 correspondences (F is up to scale) to solve Af=0 by minimizing ||Af||^2 with ||f||=1 via the smallest eigenvector of A^T A. The basic version is noise-sensitive because A's columns have very different magnitudes; the normalized version first translates points to zero centroid and scales so the mean distance is sqrt(2), runs the 8-point algorithm, enforces rank 2 by zeroing the smallest singular value (SVD), then denormalizes F=T'^T F_hat T.",aperta,,,,,
"Explain linear triangulation, its limitation, and the better non-linear alternative.","Once the projection matrices P,P' and a correspondence (x,x') are known, triangulation finds the 3D point X. Since x ~ PX and x' ~ P'X are homogeneous, rewrite them with the cross product to drop the unknown scale: x x (PX)=0 and x' x (P'X)=0. Each gives two independent linear equations in X (defined up to scale, so 3 free parameters); stacking both views forms a homogeneous system AX=0 solved by SVD. The limitation is that, due to noise, the back-projected rays generally do not intersect, and the linear SVD solution minimizes an algebraic error rather than the true geometric error. Bundle adjustment, a non-linear optimization, instead minimizes the reprojection error in the images for an accurate 3D estimate.",aperta,,,,,
