"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Come si esprime il prodotto vettoriale \\(\\mathbf{v} \\times \\mathbf{u}\\) sotto forma di prodotto matrice-vettore?","S(v)*u","S(u)*v","v^T * S(u)","S(v)^T * u","","formula"
"Qual è l'espressione della velocità lineare di un punto \\(P_2\\) appartenente a un corpo rigido rispetto alla velocità di un punto \\(P_1\\), alla velocità angolare \\(\\boldsymbol{\omega}\\) e alla distanza \\(\\mathbf{r}_{12}\\)?","v1 + S(omega)*r_12 | v1 + omega \times r_12","v1 - S(omega)*r_12","S(omega)*v1 + r_12","v1 + S(r_12)*omega","","formula"
"Il valore numerico dello Jacobiano geometrico \\(J\\) e dello Jacobiano analitico \\(J_r\\) coincide sempre, indipendentemente dalla rappresentazione dell'orientamento scelta.","F","","","","","tf"
"Per un giunto prismatico \\(i\\), quali sono i contributi lineare \\(\\mathbf{j}_{Li}\\) e angolare \\(\\mathbf{j}_{Ai}\\) alla \\(i\\)-esima colonna dello Jacobiano geometrico?","J_Li = z_{i-1}, J_Ai = 0","J_Li = 0, J_Ai = z_{i-1}","J_Li = z_{i-1} \times (p_E - p_{i-1}), J_Ai = z_{i-1}","J_Li = z_{i-1}, J_Ai = z_{i-1}","","mc"
"Per un giunto rotoidale \\(i\\), quali sono i contributi lineare \\(\\mathbf{j}_{Li}\\) e angolare \\(\\mathbf{j}_{Ai}\\) alla \\(i\\)-esima colonna dello Jacobiano geometrico?","J_Li = z_{i-1} \times (p_E - p_{i-1}), J_Ai = z_{i-1} | J_Li = S(z_{i-1})*(p_E - p_{i-1}), J_Ai = z_{i-1}","J_Li = z_{i-1}, J_Ai = 0","J_Li = z_{i-1}, J_Ai = z_{i-1} \times (p_E - p_{i-1})","J_Li = p_{i-1}, J_Ai = z_{i-1}","","formula"
"Cosa rappresentano i vettori appartenenti al kernel (null space) dello Jacobiano geometrico \\(\\mathcal{N}(J)\\)?","Velocità dei giunti che non producono alcun movimento dell'end-effector","Velocità dell'end-effector che richiedono coppie di giunto nulle","Forze applicate all'end-effector che non richiedono coppie ai giunti","Configurazioni in cui il robot perde gradi di libertà","","mc"
"Si definisce singolarità cinematica una configurazione \\(\\mathbf{q}\\) in corrispondenza della quale quale condizione si verifica?","La matrice Jacobiana perde rango","Il robot non è alimentato elettricamente","Le velocità dei giunti diventano nulle","La cinematica diretta non ha soluzioni","","mc"
"Scrivi il determinante dello Jacobiano di un manipolatore planare 2R con lunghezze dei link pari a \\(l_1\\) e \\(l_2\\).","l_1 * l_2 * sin(q_2)","l_1 * l_2 * cos(q_2)","l_1 * sin(q_1) + l_2 * sin(q_2)","l_1 * l_2 * sin(q_1 + q_2)","","formula"
"Per un robot polare RRP, quali configurazioni geometriche corrispondono a singolarità cinematica?","q_3 = 0 oppure cos(q_2) = 0","q_1 = 0 oppure sin(q_2) = 0","q_3 = 0 e d_1 = 0","q_2 = pi/2 e q_1 = 0","","mc"
"Quale teorema stabilisce la dualità statica-cinematica tra le forze all'end-effector (wrench) e le coppie ai giunti \\(\\boldsymbol{\tau}\\)?","Teorema dei lavori virtuali","Teorema di Hamilton","Teorema di Eulero-Lagrange","Teorema di D'Alembert","","mc"
