"Question","Answer","Option_B","Option_C","Option_D","Option_E","Type"
"Per un robot ridondante (m < n) con rango massimo, qual è l'espressione corretta della pseudo-inversa destra dello Jacobiano \\(J^{\\#}\\)?","J^T * (J * J^T)^-1","(J^T * J)^-1 * J^T","J^-1","(J * J^T)^-1 * J^T","","formula"
"Per un sistema cinematico sovradeterminato (m > n), qual è l'espressione corretta della pseudo-inversa sinistra dello Jacobiano \\(J^{\\#}\\)?","(J^T * J)^-1 * J^T","J^T * (J * J^T)^-1","J^T","(J^T * J)^-1","","formula"
"Qual è l'espressione generale della soluzione per la velocità dei giunti \\(\\dot{\\mathbf{q}}\\) che minimizza la norma quadratica e soddisfa il vincolo \\(J\\dot{\\mathbf{q}} = \\mathbf{v}\\), includendo un vettore arbitrario \\(\\mathbf{\\xi}\\)?","J^# * v + (I - J^# * J) * xi","J^# * v","J^T * v + (I - J * J^#) * xi","J^# * v + J^# * J * xi","","formula"
"Qual è l'espressione per il calcolo della velocità dei giunti tramite il metodo dei minimi quadrati smorzati (Damped Least Squares - DLS) con fattore di smorzamento \\(\\lambda\\)?","(J^T * J + lambda * I)^-1 * J^T * v | J^T * (J * J^T + lambda * I)^-1 * v","(J^T * J)^-1 * J^T * v","(J^T * J - lambda * I)^-1 * J^T * v","J^T * (J * J^T)^-1 * v","","formula"
"Scrivi la formula per la misura di manipolabilità di Yoshikawa \\(w\\) per uno Jacobiano \\(J\\).","sqrt(det(J * J^T))","det(J^T * J)","trace(J * J^T)","det(J)","","formula"
"Le direzioni degli assi principali dell'ellissoide di manipolabilità in velocità sono determinate da:","Gli autovettori della matrice \\(J J^T\\) (colonne di U)","Gli autovettori della matrice \\(J^T J\\) (colonne di V)","I valori singolari dello Jacobiano","La trasposta dello Jacobiano","","mc"
"L'ellissoide di manipolabilità in forza e l'ellissoide di manipolabilità in velocità hanno gli assi principali allineati lungo le stesse direzioni spaziali.","T","","","","","tf"
"In corrispondenza di una singolarità cinematica, il volume dell'ellissoide di manipolabilità in velocità si riduce a zero.","T","","","","","tf"
"Il metodo Damped Least Squares (DLS) introduce un errore di tracciamento intenzionale al fine di evitare velocità dei giunti infinitamente grandi vicino alle singolarità.","T","","","","","tf"
"Data la decomposizione SVD dello Jacobiano \\(J = U \\Sigma V^T\\), come viene calcolata la pseudo-inversa \\(J^{\\#}\\)?","V * Sigma^# * U^T","U * Sigma^# * V^T","V^T * Sigma^# * U","U^T * Sigma^# * V","","formula"
