domanda,risposta,risposta_alternativa,tipo
"Scrivi l'equazione di Nernst per una famiglia ionica j","E_j = -\frac{RT}{zF}\ln\left(\frac{[X]_{in}}{[X]_{out}}\right)","E_j = -RT/(zF) * ln(X_in/X_out) | Ej = -RT/(zF) * ln(Xin/Xout) | Ej = -(R*T)/(z*F)*ln(Xin/Xout)","formula"
"Scrivi la formula per la costante di spazio (lambda) nella teoria dei cavi","\lambda = \sqrt{\frac{r_m}{r_L}}","lambda = \sqrt{r_m/r_L} | lambda = sqrt(rm/rL)","formula"
"Scrivi la formula per il calcolo del CMRR in decibel","\text{CMRR}_{dB} = 20\log_{10}\left(\frac{G_d}{G_c}\right)","CMRR_dB = 20*log10(Gd/Gc) | CMRR = 20*log10(Gd/Gc)","formula"
"Scrivi la formula per il calcolo del CMRR in decibel conoscendo i guadagni in dB","\text{CMRR}_{dB} = G_{d,dB} - G_{c,dB}","CMRR_dB = Gd_dB - Gc_dB | CMRR = Gd - Gc","formula"
"Scrivi la formula per ricavare il guadagno di modo comune lineare (Gc) conoscendo Gd_dB e CMRR_dB","G_c = 10^{\frac{G_{d,dB} - \text{CMRR}_{dB}}{20}}","Gc = 10^((Gd_dB - CMRR_dB)/20) | Gc = 10^((Gd - CMRR)/20)","formula"
"Scrivi la formula per calcolare la tensione misurata (Vmis) considerando l'effetto partitore tra Zin e Zel","V_{mis} = V_{sorg} \cdot \frac{Z_{in}}{Z_{in} + Z_{el}}","Vmis = Vsorg * (Zin/(Zin + Zel)) | Vmis = Vsorg * Zin / (Zin + Zel)","formula"
"Scrivi la formula per calcolare il valore di picco dell'artefatto di modo comune in uscita (Vout,cm)","V_{out,cm} = V_{in,cm} \cdot G_c","Vout,cm = Vin,cm * Gc | Vout_cm = Vin_cm * Gc","formula"
"Scrivi la formula per calcolare il valore RMS dell'artefatto residuo sinusoidale in uscita (Vres,RMS)","V_{res,RMS} = \frac{V_{in,cm,peak} \cdot G_c}{\sqrt{2}}","Vres,RMS = (Vin,cm,peak * Gc)/sqrt(2) | Vres_RMS = (Vin_cm_peak * Gc)/sqrt(2)","formula"
"Scrivi la formula del budget del rumore totale RMS (sigma_tot) all'ingresso dell'ADC per componenti indipendenti","\sigma_{tot} = \sqrt{\sigma_{bio}^2 + \sigma_{cm}^2}","sigma_tot = sqrt(sigma_bio^2 + sigma_cm^2) | sigma = sqrt(sigma_bio^2 + sigma_cm^2)","formula"
"Scrivi la formula della relazione temporale che lega l'inter-stimulus interval (ISI) al SOA e alla durata dello stimolo (Tstim)","\text{ISI} = \text{SOA} - T_{stim}","ISI = SOA - Tstim","formula"
"Scrivi la formula per calcolare lo step di quantizzazione o risoluzione (VLSB) di un quantizzatore","V_{LSB} = \frac{V_{range}}{2^{N_{bit}}}","VLSB = Vrange / (2^Nbit) | VLSB = (Vmax - Vmin) / (2^Nbit)","formula"
"Scrivi la formula per calcolare la deviazione standard (valore efficace RMS) del rumore di quantizzazione (sigma_quant)","\sigma_{quant} = \frac{V_{LSB}}{\sqrt{12}}","sigma_quant = VLSB / sqrt(12)","formula"
"Scrivi la formula per calcolare la frequenza di Nyquist (fNyq)","f_{Nyq} = \frac{f_s}{2}","fNyq = fs / 2","formula"
"Scrivi la formula per calcolare la frequenza dell'alias (falias) per una componente fsig compresa tra fs/2 e fs","f_{alias} = |f_s - f_{sig}|","falias = |fs - fsig| | falias = abs(fs - fsig)","formula"
"Scrivi la formula della risoluzione spettrale fisica (df) nel metodo di Welch","\Delta f = \frac{1}{T_{win}} = \frac{f_s}{N_{win}}","df = 1 / Twin = fs / Nwin | df = 1/Twin","formula"
"Scrivi la formula per calcolare il numero di campioni per finestra (Nwin) nel metodo di Welch","N_{win} = T_{win} \cdot f_s","Nwin = Twin * fs","formula"
"Scrivi la formula per calcolare lo shift temporale (Tshift) nel metodo di Welch conoscendo l'overlap O","T_{shift} = T_{win} \cdot (1 - O)","Tshift = Twin * (1 - O)","formula"
