domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"Image filtering changes pixel values (range) via g(x) = h(f(x)).",T,tf,,,,,
"Image warping changes pixel coordinates (domain) via g(x) = f(h(x)).",T,tf,,,,,
"Global warping applies a single transformation defined by some parameters to all points in the image.",T,tf,,,,,
"A 2D linear transformation can be represented by which size of matrix?",2x2,mc,3x3,4x4,1x2,,
"The 2D rotation matrix R for angle theta has first row:",[cos(theta) -sin(theta)],mc,[sin(theta) cos(theta)],[1 0],[cos(theta) sin(theta)],,
"The 2D scaling matrix S is diagonal with entries sx and sy.",T,tf,,,,,
"A shear matrix Sh has 1s on the diagonal and shear factors off-diagonal.",T,tf,,,,,
"For 2D linear transformations, the origin (0,0) always maps to the origin.",T,tf,,,,,
"For 2D linear transformations, parallel lines remain parallel and ratios of lengths along a line are preserved.",T,tf,,,,,
"Translation can be represented by a 2x2 matrix.",F,tf,,,,,
"Translation cannot be a 2x2 linear operation because it moves the origin to (tx, ty).",T,tf,,,,,
"To include translation, a 2D point (x,y) is represented in homogeneous coordinates as which 3D vector?",(x. y. 1),mc,(x. y. 0),(x. y. x),(0. 0. 1),,
"A homogeneous point (x,y,w) corresponds to the Cartesian point:",(x/w. y/w),formula,,,,,
"A 2D affine transformation is a 3x3 matrix whose last row is [0 0 1].",T,tf,,,,,
"An affine transformation combines linear transformations and translations.",T,tf,,,,,
"For affine transformations, the origin does not necessarily map to the origin.",T,tf,,,,,
"A projective transformation (homography) is represented by a general 3x3 matrix defined up to a scale factor.",T,tf,,,,,
"A homography maps points between two different images of the same 3D plane.",T,tf,,,,,
"Under a projective transformation, parallel lines always remain parallel.",F,tf,,,,,
"Under projective transformations, parallel lines may converge to a vanishing point and ratios are not preserved.",T,tf,,,,,
"How many point matches are needed to uniquely solve a 2D linear transformation (4 unknowns)?",2,mc,3,4,1,,
"For an overdetermined system At = b, the least-squares solution via the normal equations is t =",(A^T A)^{-1} A^T b,formula,,,,,
"An affine transformation has how many unknowns?",6,mc,4,8,9,,
"How many point matches are needed to solve an affine transformation?",3,mc,2,4,6,,
"A homography has how many independent unknowns (since it is defined up to scale)?",8,mc,9,6,4,,
"How many point matches are minimally needed to solve a homography?",4,mc,3,8,6,,
"Solving for a homography is a constrained least squares problem: minimize ||Ah||^2 subject to ||h|| = 1.",T,tf,,,,,
"The homography solution h is the eigenvector of A^T A corresponding to which eigenvalue?",The smallest eigenvalue,mc,The largest eigenvalue,The second largest,Any nonzero one,,
"RANSAC is used because least squares is sensitive to outliers (incorrect matches).",T,tf,,,,,
"RANSAC estimates model parameters by randomly sampling data and identifying the largest set of inliers.",T,tf,,,,,
"In RANSAC, the minimal sample size s for a homography is:",4,mc,2,3,8,,
"The RANSAC iteration count satisfies N >=",log(1-p) / log(1 - (1-e)^s),formula,,,,,
"In forward warping, problems include holes (unfilled pixels) and overlaps (multiple source pixels mapping to one).",T,tf,,,,,
"Inverse warping iterates over destination pixels and uses the inverse transform to sample the source, ensuring every output pixel is filled.",T,tf,,,,,
"Inverse warping requires interpolation because the computed source position is often not at an integer coordinate.",T,tf,,,,,
"Feathering blends images with a weighted average (alpha blending) but can produce ghosting if alignment is imperfect.",T,tf,,,,,
"Compare the three families of 2D transformations (linear, affine, projective) in terms of matrix form, properties, and what they preserve.","Linear transformations are 2x2 matrices (scale, rotation, shear); they keep the origin fixed, map lines to lines, keep parallel lines parallel and length ratios preserved, and are closed under composition - but cannot represent translation, which moves the origin. Affine transformations use homogeneous coordinates and a 3x3 matrix with last row [0 0 1], combining linear maps and translation; the origin need not map to the origin but other linear properties hold (lines, parallelism, ratios). Projective transformations (homographies) are general 3x3 matrices defined up to scale, mapping one plane to another; parallel lines may converge to a vanishing point and ratios are not preserved, though lines still map to lines.",aperta,,,,,
"Explain how to compute a transformation from point correspondences, including least squares and the special handling of a homography.","Each correspondence gives equations in the unknown matrix entries. A 2D linear transform has 4 unknowns (>=2 matches), an affine 6 unknowns (>=3 matches), a homography 8 independent unknowns (>=4 matches). With more matches you get an overdetermined system At=b solved by least squares via the normal equations t=(A^T A)^{-1} A^T b. A homography instead leads to a homogeneous system Ah=0 (since it is defined up to scale); this is a constrained problem, minimize ||Ah||^2 subject to ||h||=1, whose solution is the eigenvector of A^T A with the smallest eigenvalue (via SVD).",aperta,,,,,
"Explain RANSAC for robust transformation estimation and why it is needed.","Least squares is sensitive to outliers (wrong feature matches), which can ruin the fit. RANSAC is iterative: (1) randomly sample the minimal number of points needed (2 linear, 3 affine, 4 homography); (2) compute the model from that minimal sample; (3) count inliers within tolerance epsilon; (4) repeat for N iterations and keep the model with the most inliers; (5) re-estimate the model with least squares on all inliers. The required iterations satisfy N >= log(1-p)/log(1-(1-e)^s) for success probability p, sample size s, and outlier ratio e.",aperta,,,,,
"Explain forward vs inverse warping and the image blending step that follows alignment.","Forward warping iterates over source pixels, maps each to its new position, and copies the value - but this leaves holes (unfilled destination pixels) and overlaps (several sources mapping to one destination). Inverse warping iterates over destination pixels and uses the inverse transform to find the source location, guaranteeing every output pixel is filled; since the source location is usually non-integer, interpolation (nearest-neighbor, bilinear, bicubic) is needed. After alignment, images are blended: feathering uses a weighted alpha average in the overlap with smoothly transitioning weights (can cause ghosting if misaligned), while pyramid blending merges per frequency band for seamless results.",aperta,,,,,
