domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"A Gaussian pyramid is a multi-resolution representation where each level is created by Gaussian filtering then downsampling the previous level by a factor of 2.",T,tf,,,,,
"As you move to higher pyramid levels (lower resolution), high-frequency details are smoothed out and lost.",T,tf,,,,,
"Gaussian pyramids are useful for which kind of search?",Coarse-to-fine search,mc,Exhaustive pixel search,Frequency-domain search,Binary search,,
"It is possible to perfectly reconstruct the original high-resolution image from a single lower-resolution Gaussian level.",F,tf,,,,,
"If each level is subsampled by 2 in both width and height, each next level has how many pixels relative to the previous one?",1/4,mc,1/2,1/8,1/16,,
"The total storage of a full Gaussian pyramid relative to the original image is about:",4/3 N (~33% more),mc,2N (100% more),N (same),N/2 (half),,
The geometric series for total pyramid pixels sums to Ntotal =,(4/3)*N,formula,,,,,
"A Laplacian pyramid is a lossless representation that stores the high-frequency residuals lost between Gaussian levels.",T,tf,,,,,
The REDUCE operation that builds the next Gaussian level is G_{i+1} =,REDUCE(G_i),formula,,,,,
"The EXPAND operation predicts a higher-resolution image by upsampling then blurring.",T,tf,,,,,
"A Laplacian pyramid residual level is L_i =",G_i - EXPAND(G_{i+1}),formula,,,,,
"The complete Laplacian pyramid stores all residual images plus which extra item?",The smallest Gaussian level Gn,mc,The original full image,The mask pyramid,Nothing else,,
"In reconstruction, the recovered level is G_i =",EXPAND(G_{i+1}) + L_i,formula,,,,,
"Reconstruction starts from the smallest image Gn and repeatedly upsamples while adding the corresponding residual.",T,tf,,,,,
"Residuals are called 'Laplacian' because a difference of Gaussians approximates which operator?",Laplacian of Gaussian (LoG),mc,Derivative of Gaussian,Sobel,Box filter,,
"In pyramid blending, you build Laplacian pyramids for the two source images and a Gaussian pyramid for the mask.",T,tf,,,,,
"In pyramid blending, the combined level is LC_j(x,y) =",GM_j(x.y)*LA_j(x.y) + (1 - GM_j(x.y))*LB_j(x.y),formula,,,,,
"Why is a Gaussian pyramid (not a Laplacian pyramid) used for the blending mask?",Its values act as smooth blending weights at each scale,mc,It is lossless,It is smaller,It stores edges,,
"The final step of pyramid blending is to collapse the combined Laplacian pyramid into the output image.",T,tf,,,,,
"Pyramid blending avoids the sharp seam that a simple cut-and-paste would produce.",T,tf,,,,,
"Which is NOT listed as an application of image pyramids?",Lossless encryption,mc,Image compression,Denoising,Multi-scale registration,,
"Explain what a Gaussian pyramid is, how it is built, and why it only needs about 33% more storage than the original image.","A Gaussian pyramid is a multi-resolution representation where each level is built by Gaussian-filtering and downsampling the previous level by a factor of 2, giving progressively smaller, blurrier images useful for coarse-to-fine search. Higher levels lose high-frequency detail while keeping low-frequency/uniform regions. Since halving width and height gives 1/4 the pixels per level, the total is N + N/4 + N/16 + ... = N/(1-1/4) = 4/3 N, i.e. only ~33% more storage than the original.",aperta,,,,,
"Describe the Laplacian pyramid: how it is constructed, why it is lossless, and how the original is reconstructed.","The Laplacian pyramid stores the high-frequency residuals lost between Gaussian levels, making it lossless. Define REDUCE (blur+downsample) and EXPAND (upsample+blur). Each residual is Li = Gi - EXPAND(G(i+1)): the actual higher-resolution image minus the prediction from the coarser level. The full representation is all residuals {L0..L(n-1)} plus the smallest Gaussian level Gn. To reconstruct, start from Gn and for i from n-1 down to 0 compute Gi = EXPAND(G(i+1)) + Li, recovering G0 exactly. The residuals are called Laplacian because image-minus-blurred (a Difference of Gaussians) approximates the LoG operator.",aperta,,,,,
"Explain the pyramid blending algorithm and why it produces seamless results.","To blend two images A and B with a mask M: (1) build Laplacian pyramids LA and LB for the sources; (2) build a Gaussian pyramid GM for the mask, whose 0-1 values act as smooth blending weights at each scale; (3) at each level j form LCj = GMj*LAj + (1-GMj)*LBj; (4) collapse the combined Laplacian pyramid to get the output. Because blending happens per frequency band with a smoothly-varying mask, low frequencies blend over a wide region and high frequencies over a narrow one, avoiding the sharp seam of a simple cut-and-paste.",aperta,,,,,
