"domanda","risposta","opzione_b","opzione_c","opzione_d","opzione_e", "risposta_alternativa"
"The International 10-20 System specifies the position of 19 electrodes on the scalp.","T","","","",""
"Frontopolar (Fp) electrodes are located in the parietal region of the scalp.","F","","","",""
"In a monopolar EEG recording, all channels share a single reference electrode.","T","","","",""
"In a monopolar EEG recording using all 19 electrodes of the 10-20 system, the total number of electrodes mounted on the subject's head (active + reference + ground) is 21.","T","","","",""
"An EEG study uses monopolar recording following the International 10-20 System, excluding all frontopolar (Fp) and occipital (O) channels (2 of each). The reference is a common linked mastoid pair (left + right mastoid). How many active EEG channels are recorded?","15","17","19","13",""
"An EEG study records 15 active channels in monopolar configuration, using a common linked mastoid reference (left + right mastoid electrodes) and one ground electrode. How many total electrodes must be mounted on the subject's head?","18","15","16","17",""
"Only the following four bipolar EEG channels are recorded: T7-C3, C3-Cz, Cz-C4, C4-T8. One ground electrode is required. How many electrodes must be mounted on the subject's head in total?","6","4","5","8",""
"In a bipolar EEG chain T7-C3, C3-Cz, Cz-C4, C4-T8, the electrode C3 serves as both the negative input of one channel and the positive input of the next.","T","","","",""
"The Nyquist frequency is equal to half the sampling frequency.","T","","","",""
"Shannon's theorem requires that the analog signal contains no frequency components above the Nyquist frequency for correct reconstruction.","T","","","",""
"An anti-aliasing filter must have its cutoff frequency below the Nyquist frequency to prevent aliasing.","T","","","",""
"Aliasing is reversible: once a signal is aliased, it can be recovered by digital filtering.","F","","","",""
"An EEG system samples at 400 samples/s. The analog low-pass filter is set at 300 Hz. Is there an anti-aliasing problem, and why?","Yes — the filter cutoff (300 Hz) exceeds the Nyquist frequency (200 Hz)","No — 300 Hz is well below the sampling rate of 400 Hz","Yes — the sampling rate is too high for EEG","No — anti-aliasing filters are optional for EEG",""
"An EMG system samples at 5000 samples/s and applies a bandpass filter 10–2000 Hz. Is there an anti-aliasing problem?","No — the filter upper cutoff (2000 Hz) is below the Nyquist frequency (2500 Hz)","Yes — the filter cutoff exceeds the Nyquist frequency","Yes — the lower cutoff introduces aliasing","No — EMG does not require anti-aliasing",""
