question,answer,option_b,option_c,option_d
"What is the typical resting membrane potential of a skeletal muscle fiber?","-90 mV","-70 mV","-60 mV","+30 mV"
"What is the typical resting membrane potential of a neuron?","-70 mV","-90 mV","-60 mV","+30 mV"
"The sodium-potassium pump consumes ATP to transport ions against their electrochemical gradient.","T","","",""
"During a complete cycle, what does the sodium-potassium pump (Na+/K+-ATPase) actively transport?","3 Na+ ions out and 2 K+ ions in","3 Na+ ions in and 2 K+ ions out","2 Na+ ions out and 3 K+ ions in","2 Na+ ions in and 3 K+ ions out"
"The rapid depolarization phase of the action potential is primarily due to the:","Influx of Na+ ions","Efflux of K+ ions","Influx of Ca2+ ions","Efflux of Cl- ions"
"The repolarization phase of the neuronal action potential is primarily due to the:","Efflux of K+ ions","Influx of Na+ ions","Efflux of Cl- ions","Influx of Ca2+ ions"
"The absolute refractory period prevents the generation of a second action potential regardless of the stimulus intensity.","T","","",""
"The absolute refractory period is primarily caused by:","Inactivation of voltage-gated sodium channels","Delayed opening of voltage-gated potassium channels","Chloride channel closure","Activity of the sodium-potassium pump"
"What effect does the myelin sheath have on the passive electrical parameters of the axon?","Increases membrane resistance and decreases equivalent capacitance","Decreases membrane resistance and increases equivalent capacitance","Increases both membrane resistance and equivalent capacitance","Decreases both membrane resistance and equivalent capacitance"
"How is the space constant (λ) defined in cable theory?","Square root of the ratio of membrane resistance (rm) to intracellular longitudinal resistance (rL)","Ratio of intracellular longitudinal resistance (rL) to membrane resistance (rm)","Product of membrane resistance (rm) and membrane capacitance (cm)","Ratio of membrane capacitance (cm) to intracellular longitudinal resistance (rL)"
"An increase in the thickness of the myelin sheath causes a reduction in the space constant (λ).","F","","",""
"In an inhibitory chemical synapse, the release of GABA causes the opening of potassium (or chloride) channels, producing on the post-synaptic membrane:","A hyperpolarizing inhibitory post-synaptic potential (IPSP)","A depolarizing excitatory post-synaptic potential (EPSP)","The immediate generation of an action potential","Absolute refractoriness"
"Short-term synaptic plasticity involves permanent structural changes such as axonal pruning.","F","","",""
"Which structural plasticity mechanism involves the growth of new axonal collateral branches to form new connections?","Axonal Sprouting","Pruning","Unmasking","Regeneration"
"At the level of cortical organization, neurons belonging to the same vertical column:","Tend to show the same behavior in response to the same stimulus","Have opposite behaviors to ensure balance","Process signals coming from different lobes","Are all exclusively inhibitory in nature"
"Which neural structures are the main generators of the EEG signal recorded on the scalp?","Post-synaptic potentials (PSPs) of cortical pyramidal neurons","Action potentials (spikes) of white matter axons","Action potentials of stellate neurons in layer IV","Resting potentials of thalamic neurons"
"Pyramidal neurons arranged parallel to each other and perpendicular to the cortical surface form an open field configuration.","T","","",""
