domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa
"A feature descriptor is a vector representation of the patch surrounding a keypoint.",T,tf,,,,,
"The goal of a descriptor is that patches with similar content have similar descriptors.",T,tf,,,,,
"A good descriptor must be robust to photometric and geometric transformations.",T,tf,,,,,
"A raw image patch descriptor is perfect for exact matches but highly sensitive to brightness and position changes.",T,tf,,,,,
"Using image gradients makes a descriptor invariant to brightness shifts.",T,tf,,,,,
"A plain color histogram is invariant to rotation and scale but loses all spatial layout.",T,tf,,,,,
"Spatial histograms (per-cell, as in HOG/SIFT) are partially invariant to deformation.",T,tf,,,,,
"Spatial histograms are sensitive to rotation unless a dominant orientation is first established and used for alignment.",T,tf,,,,,
"Which step achieves full rotation invariance by aligning the patch to its dominant gradient orientation?",Orientation normalization,mc,Color histogram,Raw patch,Block normalization,,
"The histogram intersection similarity is ∩(Q,V) =",sum_i min(q_i. v_i),formula,,,,,
"The Euclidean (L2) distance between histograms is d(Q,V) =",sqrt(sum_i (q_i - v_i)^2),formula,,,,,
"Which histogram comparison weighs all bins equally and is described as not very robust?",Euclidean distance,mc,Chi-square distance,Histogram intersection,Hamming distance,,
"The chi-square distance is chi^2(Q,V) =",sum_i ((q_i - v_i)^2 / (q_i + v_i)),formula,,,,,
"The chi-square distance is more discriminative because it weighs bins differently.",T,tf,,,,,
"HOG is a feature descriptor originally used for human (pedestrian) detection.",T,tf,,,,,
"HOG combines gradients, spatial cells, and local contrast normalization.",T,tf,,,,,
"A typical fixed patch size for HOG human detection is:",64x128 pixels,mc,32x32 pixels,16x16 pixels,256x256 pixels,,
"HOG uses unsigned gradients with angles spanning which range?",0 to 180 degrees,mc,0 to 90 degrees,0 to 360 degrees,-180 to 180 degrees,,
"A typical HOG cell histogram uses how many orientation bins?",9,mc,8,36,16,,
"In a HOG cell histogram, each pixel's vote is weighted by its gradient magnitude.",T,tf,,,,,
"HOG interpolates votes bilinearly between adjacent bins to avoid aliasing.",T,tf,,,,,
"In HOG, adjacent cells are grouped into larger regions called blocks for contrast normalization.",T,tf,,,,,
The HOG block normalization formula is v_norm =,v / sqrt(,formula,,,,,v/sqrt(
"HOG blocks overlap, so interior cells contribute to multiple block vectors for a redundant, robust representation.",T,tf,,,,,
"For a 64x128 patch with 8x8 cells and 2x2 cell blocks (step 8), the final HOG descriptor dimensionality is:",3780,mc,128,1024,256,,
"The standard HOG descriptor is invariant to rotation.",F,tf,,,,,
"Trace the evolution of a robust feature descriptor from a raw patch to orientation-normalized spatial histograms, explaining each step's shortcoming.","A raw image patch matches exactly but is highly sensitive to brightness and position changes. Using image gradients adds invariance to brightness shifts but remains sensitive to rotation, deformation, and contrast (motivating normalization). A color histogram is invariant to rotation/scale but discards all spatial layout, making it non-discriminative. Spatial histograms (per-cell, as in HOG/SIFT) restore some layout and are partially invariant to small deformations, but the fixed spatial bins make them sensitive to rotation. Finally, orientation normalization aligns the patch to its dominant gradient orientation before computing the descriptor, achieving full rotation invariance.",aperta,,,,,
"Explain the three histogram comparison measures and their relative robustness.","Histogram intersection sums min(qi,vi) over bins, measuring the shared part of two histograms, and is robust. Euclidean (L2) distance, sqrt(sum (qi-vi)^2), is simple but weighs all bins equally and is not very robust. Chi-square distance, sum (qi-vi)^2/(qi+vi), weighs bins differently and is more discriminative, making it a stronger choice for comparing histogram descriptors.",aperta,,,,,
"Describe the full HOG pipeline for pedestrian detection and state its key properties.","HOG combines gradients, spatial cells, and local contrast normalization on a fixed patch (e.g. 64x128). (1) Gradient computation: per-pixel magnitude and unsigned orientation in 0-180 degrees. (2) Cell histograms: divide into 8x8 cells, build a 9-bin orientation histogram per cell where each pixel votes weighted by its magnitude, with bilinear interpolation between bins to avoid aliasing. (3) Block normalization: group cells into 2x2 blocks, concatenate and normalize (v/sqrt(||v||^2+eps)) for contrast robustness, with overlapping blocks so interior cells contribute multiple times. (4) Feature vector: concatenate normalized blocks (e.g. 3780-dim for 64x128), fed to a linear SVM. HOG is single-scale and has no dominant orientation, so it suits canonical-pose objects like upright pedestrians and is not rotation invariant.",aperta,,,,,
