domanda,risposta
"The 4 main ion families having a role in the neuron functioning are Na+, K+, Cl- and Ca++","T"
"The 4 main ion families having a role in the neuron functioning are Na+, K+, Br- and Ca++","F"
"The resting membrane potential for the neural cell is equal to -90.","F"
"The resting membrane potential for the neural cell is typically around +70 mV.","F"
"In an inhibitory synapse, the membrane current is always iperpolarizing.","T"
"In the Nernst equation, the ion valence can be either positive or negative.","T"
"In the Nernst equation, the temperature is expressed in Celsius degrees","F"
"The resting membrane potential is entirely due to the sum of the effects of diffusional forces and electrical forces acting on the ions.","F"
"The resting membrane potential is entirely due to the sum of the effects of the electrical forces acting on the ions and of the ion pumps.","F"
"If at a certain temperature T the equilibrium potential for a given ion family is equal to +30 mV, and the membrane potential is equal to -70 mV, the ion net current will be a hyperpolarizing one.","F"
"The propagation speed for an action potential in an unmyelinated axon is slower than in a myelinated one.","T"
"The Thalamus, the Brainstem and the Penfield Homunculus are all subcortical areas.","F"
"In the short-term plasticity, there are no structural changes in the post-synaptic membrane.","T"
"The following measures of brain electrical correlates are in the correct order, from the less detailed to the more detailed one: Scalp EEG, Local Field Potentials, Electrocorticography, Stereo EEG, Extracellular Recordings, Intracellular Recordings.","F"
"The main contributors to the amplitude of EEG are the post-synaptic potentials.","T"
"The following factors all affect the amplitude of EEG signals: the neurons' orientation, the synchronicity of the neural activity, the distance between the neurons and the electrodes, the closed/open field generated by the neurons.","T"
"If a time series is not Fourier-transformable, it is still possible to compute its power spectral density by means of the Wiener-Khinchin Theorem.","T"
"Ordinary Coherence is directional.","F"
"Anatomical connectivity can change over large time scales.","T"
"Causality in the sense of physical influence can be tested by perturbing the brain activity.","T"
"Wiener-Granger Causality is based on the autoregressive modeling of time series.","T"
"The Granger Causality Test is a spectral measure.","F"
"This is an example of the hidden source effect (cascade diagram 3 -> 1 -> 2).","F"
"Multivariate approaches are more accurate because they use the information from all the time series involved in a unique model.","T"
"A Density equal to 1.3 is a physiologically plausible result.","F"
"Local Efficiency is a local measure.","F"
"Divisibility and Modularity are measures of segregation.","T"
"A Small-World Network properties are equidistant from those of Regular and Random Networks.","F"
"Ion pumps are based on a passive membrane transportation mechanism.","F"
"Given that at a certain temperature T the Cl- equilibrium potential is equal to -80 mV, and the membrane potential is equal to -70 mV, the Cl- net current will be directed from the inside of the cell toward the outside.","F"
"In chemical synapses, when a neurotransmitter opens the K+ gated channels, the resulting PSP is an inhibitory one.","T"
"The continuous conduction is faster than the saltatory (myelinated) one.","F"
"Two ipsilateral regions belong to the same hemisphere.","T"
"The unmasking of latent synaptic connections is part of the mechanisms behind brain plasticity.","T"
"To detect a sequence of action potentials over the axon of a neural cell in vivo, the correct procedure is to record extracellular measures.","T"
"The cortical pyramidal neurons are oriented tangentially to the cortical surface.","F"
"Synchronously activated neurons produce a larger EEG signal than the same amount of neurons when they are asynchronous.","T"
"Deep (subcortical) regions of the brain produce a less blurred scalp EEG than cortical ones.","F"
"If a time series is not Fourier-transformable, it is impossible to compute its PSD.","F"
"A necessary condition for a linear autoregressive (AR) model is that the time series to be modeled is wide-sense stationary.","T"
"PDC is a spectral, bivariate method.","F"
"The use of Ordinary Coherence can mitigate the problem of the common source.","F"
"A negative value of the Granger Index Gx->y should never occur if the two AR models that are compared to compute the index are correct.","T"
"In a graph, the distance d(i,j) between two nodes is given by the average length of the paths that link them.","F"
"In a graph, the Global Efficiency ∈[0, 1].","T"
"In an undirected graph, I cannot compute the indegree and the outdegree.","T"
"In the Nernst equation for the electrochemical equilibrium there is a term referred to diffusional forces and a term referred to electrical forces.","T"
"The temporal summation of PSPs does not depend on the temporal distance between subsequent action potentials in the presynaptic cell.","F"
"A hyperpolarization with respect to the resting membrane potential can cause the generation of an action potential.","F"
"The motor homunculus is located in the frontal lobe.","T"
"The short-term synaptic plasticity can involve a structural change in the post-synaptic membrane.","F"
"To measure the membrane potential over the soma of a neural cell in vitro, the correct procedure is to record extracellular measures.","F"
"In a cortical pyramidal neuron, thalamo-cortical synapses are located in the apical portion of its dendritic tree.","F"
"Radially symmetric neurons produce a closed field and therefore do not significantly contribute to scalp EEG.","T"
"Potentials recorded by electrodes which are at a close distance on the scalp are mutually independent.","F"
"The maximum neural response is obtained for a movement direction with an angle of 350 degrees (based on motor cortex tuning curve).","F"
"Discriminability d' is higher when the coherence level is equal to 6.4% than when it is equal to 12.8%.","F"
"In reference to the firing rate distribution under preferred vs opposite motion directions: the histogram obtained for the preferred direction (+) is less affected by the coherence level than the distribution (-).","F"
"In reference to the firing rate distribution under preferred vs opposite motion directions: there is an optimal value z that can be used as a threshold for classification at all coherence levels.","F"
"Given two time series x and y, the Granger Causality Index Gx->y ∈[-∞, ∞].","F"
"The Ordinary Coherence is defined in the time domain.","F"
"A multivariate approach to the estimation of brain networks can always prevent the occurrence of the common source problem.","F"
"In a graph, when no path links two nodes, the distance between them is infinite.","T"
"In a graph, the Density ∈[0, 1].","T"
"The Global Efficiency is normalized to the number N of nodes in the graph.","F"
"An IPSP consists of a depolarization of the post-synaptic cell membrane.","F"
"The voltage-gated Na+ channel is responsible for the absolute refractory period.","T"
"The most informative parameter of the spike train in output to a neuronal cell is the amplitude of the spikes.","F"
"The firing rate of the pre-synaptic neuron influences the temporal summation of the PSPs in the post-synaptic cell.","T"
"The frontal lobe houses the primary visual function.","F"
"In the brain’s primary motor cortex (Penfield homunculus) the extension of the cortical region which controls a specific body region is proportional to that body region's volume.","F"
"The short-term synaptic plasticity involves an irreversible change in the post-synaptic membrane.","F"
"To record in vivo measures of the membrane potential over the axon of a single neural cell, you will use extracellular measures.","T"
"The EEG signal is mainly generated by action potentials.","F"
"The tuning curve shows the firing rate f of a neuron in the primary visual cortex as a function of the retinal disparity angle s. We can infer that the neuron responds mainly to positive s (far-tuned neuron).","T"
"To record in vitro measures of the membrane potential over the dendrites of a neural cell, you will use extracellular measures.","F"
"The part of the pyramidal neuron that acts as a current dipole is the axon.","F"
"The discriminability d' when the coherence=3.2% is higher than when it's =12.8%.","F"
"In reference to the firing rate distribution: among the two distributions (r+ or r-), r+ is the one affected by the coherence level.","T"
"The normalized Partial Directed Coherence ∈[0, 1].","T"
"The Granger Test is more suitable than the Ordinary Coherence to obtain a spectral measure.","F"
"If Cxy(f) is the ordinary coherence between x and y, Cxy(f)=Cyx(f).","T"
"The difference between the Wiener’s and Granger’s definitions of causality in the statistical sense is that Granger indicated a modeling framework to be used to test causality.","T"
"Regular networks have a smaller Global Efficiency than random networks.","T"
"A regular network has fewer nodes than a random network.","F"
"Random networks have a smaller Local Efficiency than regular (lattice) networks.","T"
"In a graph, the minimum Divisibility is equal to zero.","F"
"Divisibility and Modularity are measures of integration of a network.","F"
"The voltage-gated K+ channel inactivation state is responsible for the absolute refractory period.","F"
"The voltage-gated Na+ channel is responsible for the repolarization phase of the action potential.","F"
"The firing rate influences the amplitude of the resulting action potential in the post-synaptic cell.","F"
"The long-term synaptic plasticity involves a structural change in the post-synaptic membrane.","T"
"The brain operates at the temporal scale of milliseconds.","T"
"The neurons’ spatial orientation affects the amplitude of EEG signals.","T"
"The synchronicity of the neural activity affects the amplitude of EEG signals.","T"
"The electrical variation of the membrane potential that mainly contributes to EEG is the action potential.","F"
"When the firing rate is 55 Hz, I can infer which movement direction produced that response (based on the motor cortex tuning curve peaking at 55Hz).","T"
"In reference to the motor cortex tuning curve: from the curve I can conclude that this neuron is tuned to be more active in correspondence to a specific movement direction.","T"
"In reference to the motor cortex tuning curve: the firing rate f was computed as the average of the neural response function across trials.","T"
"Given the Granger Index Gxy between two time series x and y, a negative value of Gxy means an inverse precedence between the two time series.","F"
"In the event of data paucity, the Partial Directed Coherence (PDC) is the most accurate estimator of causality in the statistical sense.","F"
"Undirected graphs are associated with symmetrical adjacency matrices.","T"
"When temporal summation occurs, spatial summation cannot.","F"
"In the brain primary somatosensory cortex (Penfield homunculus) the extension of the cortical region which maps a specific body region is proportional to that body region's volume.","F"
"In a directed graph, all indices are doubled with respect to a corresponding undirected one (i.e., the graph where all the directions have been removed).","F"
"Modularity values belong to the interval [0,1]","F"
"The sodium-potassium pump is a passive transportation mechanism.","F"
"The resting membrane potential for the neural cell is typically around +70 mV.","F"
"In an excitatory synapse, the post-synaptic membrane current is always hyperpolarizing.","F"
"The resting membrane potential is entirely due to the sum of the effects of the electrical forces acting on the ions and of the ion pumps.","F"
"Given an ion family with negative valence, if at a given temperature T its equilibrium potential is equal to -90 mV and the membrane potential is equal to -70 mV, the ions net current will be directed from the outside of the cell toward the inside.","T"
"The spatial and temporal summations of post-synaptic potentials are mutually exclusive.","F"
"The primary visual region, the primary auditory region and both Penfield Homunculi are all cortical areas.","T"
"Long-term synaptic plasticity involves structural changes in the post-synaptic membrane.","T"
"Local Field Potentials are noninvasive correlates of brain activity.","F"
"The only way to estimate Causality in the sense of temporal precedence is to perturb the brain activity.","F"
"The hidden source problem can be completely solved by using multivariate approaches.","F"
